sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
byang chub sems dpa'|Bodhisattva, Héros d'éveil, Héros pour l'éveil Chevalier d'éveil, Vaillant pour l'éveil, Courageux pour s'éveiller,
byang chub sems dpa' sems spa' chen po|Bodhisattva Mahasattva, Bodhisattva grand vaillant, (ou grand chevalier, ou grand héro,) Chevalier, grand héro d'éveil
byang chub snying po|Le cour de l'éveil, L'essence de l'éveil,
byang chub yan lag bdun|Les sept branches de (la voie de) l'éveil,
byang chub mchog gi chos bdun|Les sept branches de (la voie de) l'éveil,
yang dang byang chub kyi lam yan lag bdun|Les sept branches de (la voie de) l'éveil,
bye brag|Classe, Particularité, Spécificité, Particularité générale,
bye brag phyed|Analyser les particularités,
bye brag smra ba|Vaibhashika, Enonciateur des spécificités (de toutes matières dans les trois temps) Tenant de la perspective philosophique des énonciateurs de spécificités.
byed pa|Analyser, Différencier, Discerner, Diviser, Analyse, Différenciation,
rnam 'byed|Analyser, Différencier, Discerner, Diviser, Analyse, Différenciation,
rab 'byed|Analyser, Différencier, Discerner, Diviser, Analyse, Différenciation,
byed pa po|Acteur, Sujet (de l'acte), Agent, Celui qui fait, Fabriquant, Créateur, Auteur,
byed po|Acteur, Sujet (de l'acte), Agent, Celui qui fait, Fabriquant, Créateur, Auteur,
byed pa rgyu mthun|(Résultat karmique) Analogue (ou conforme) à l'acte (inducteur)
byin brlabs  |Inspiration, Bénédictions, Influence spirituelle, Grâce, Pouvoir inhérent au sens du Dharma des voies supérieures (arya), Pouvoir du rayonnement,  Pouvoir de l'éclat, Pouvoir de transfert d'une pensée ou d'une qualité 
byin gyis brlabs pa|Inspirer, Bénir, Consacrer, Donner du pouvoir par l'éclat, Transferer un pouvoir, une influence spirituelle, Conférer de l'éclat, Conférer une énergie (spirituelle), Energétiser,
byin gyis rlobs|Inspirer, Bénir, Consacrer, Donner du pouvoir par l'éclat, Transferer un pouvoir, une influence spirituelle, Conférer de l'éclat, Conférer une énergie (spirituelle), Energétiser,
byin rlabs|Inspirer, Bénir, Consacrer, Donner du pouvoir par l'éclat, Transferer un pouvoir, une influence spirituelle, Conférer de l'éclat, Conférer une énergie (spirituelle), Energétiser,
bying ba|Sombrer dans la torpeur, Somnoler, S'endormir, S'assoupir, Torpeur, Somnolence, Endormissement, Hébétude,
bying rgod|Torpeur et agitation, Sombrer et s'agiter, Somnolence et excitation,
bying rmugs|Torpeur et opacité
byis pa|Enfant, Petit enfant, Personne immature,
'byongs pa|Maîtriser, Entraîné, Accompli, Maîtrise de l'entraînement, Entraînement acquis, Acquisition d'une dextérité,
'byor ba|Arriver, Atteindre, S'unir à, Se réunir à, Richesses, Qualités,
'byung ba|Les (cinq) éléments (bases de toutes choses) Apparaître, Venir, Survenir, Arriver, Naître,
'byung ba med pa|Non apparu,
'byung 'gyur|Les choses, les objets  qui viennent des éléments, Ce qui viendra, Le devenir,
byung khung|Origine, Source,
 'byung khungs|Origine, Source,
khungs|Origine, Source,
'byung gnas|Origine, Source,
bzang ngan med pa|Sans bon ni mauvais,
bzang po|Bon, Excellent,
bzhag bsal|Poser et enlever, Placer et enlever, Disposer et dissiper,
bzhag pa dang bsal ba|Poser et enlever, Placer et enlever, Disposer et dissiper,
bzhag bsal med pa|Sans (rien) qui soit mit ou enlevé, Sans (rien) mettre ni enlever, Sans (rien) placer ni enlever, Sans placement ni enlèvement , Sans ajouts  ni soustraction,
bzhag dang bsal med|Sans (rien) qui soit mit ou enlevé, Sans (rien) mettre ni enlever, Sans (rien) placer ni enlever, Sans placement ni enlèvement , Sans ajouts  ni soustraction,
dbri bsnan med pa|Sans (rien) qui soit mit ou enlevé, Sans (rien) mettre ni enlever, Sans (rien) placer ni enlever, Sans placement ni enlèvement , Sans ajouts  ni soustraction,
bzhag pa gzhag pa|Se poser, Se disposer, Se placer, S'établir, Etablir, Installer, Mettre,
bzhag stangs|Façon de se poser, Façon de se disposer, Façon de se placer,
bzhugs stangs|(h) Façon de se poser, Façon de se disposer, Façon de se placer,
bzhed pa|h Promettre, Soutenir, Asserter, Expliquer, h Penser, h Désirer, Souhaiter,
bzhugs gsol|(h)  Prière de résider, Veuillez: résider, prendre place, vous asseoir, siéger,
bzhugs su gsol ba|(h)  Prière de résider, Veuillez: résider, prendre place, vous asseoir, siéger,
bzlas pa bzlas brjod|Récitation, Répétition (de mantras)
bzlog pa|Renversement, Retournement, Renvoie, Retour, Réfutation, Exorcisme
zlog pa|Renversement, Retournement, Renvoie, Retour, Réfutation, Exorcisme
phyir zlog pa|Renversement, Retournement, Renvoie, Retour, Réfutation, Exorcisme
bzo ba|Fabriquer, Faire, Artisanat, Fabrication,
bzo ba'i sprul sku|Corps d'émanation (nirmanakaya se manifestant comme) artiste ou artisant.
bzo med|Sans fabrication
bzod gsol|Requête d'indulgence, Demande de pardon,
bzod med|Insupportable, Irrésistible, Insoutenable, Intolérable, Impatient,
mi bzod pa|Insupportable, Irrésistible, Insoutenable, Intolérable, Impatient,
bzod du med pa|Insupportable, Irrésistible, Insoutenable, Intolérable, Impatient,
bzod pa|Patience, Endurance, Indulgence, Supporter,
chad mtha'|Extrême nihiliste
chags med|Non attachement, Libre d'attachement, Sans attachement
chags bral|Non attachement, Libre d'attachement, Sans attachement
ma chags|Non attachement, Libre d'attachement, Sans attachement
chags pa|1) Attachement, attraction, 2) Apparition, production, création
'chags pa|Dévoiler
'char gzhi|Projet
'chi bdag gi bdud|Le démon du maître de la mort
'chi med|Immortel
cho 'phrul|Projection magique, Miracle
chos|Dharma Réalité Enseignement, L'enseignement de réalité  Ce qui est expérimenté, expérience, Chose, connu. réalité, réel, connaissable,
chos bzod|Acceptation de la réalité Accepter la réalité
chos dbyings|L'immensité de la réalité
chos kyi dbyings kyi ye shes|La gnose (experience primordiale) de l'immensité de la réalité
chos kyi dbyings|L'immensité de la réalité
chos nyid kyi dbyings|L'immensité de la réalité
chos dbyings|L'immensité de la réalité
chos mchog|Suprême expérience
chos mngon pa|Phénoménologie Abhidharma
ji bzhin nyid|Réalité (en soi) Ainsité de la réalité Telleité
chos kyi de nyid|Réalité (en soi) Ainsité de la réalité Telleité
chos nyid|Réalité (en soi) Ainsité de la réalité Telleité
chos sku|Le Corps de Réalité
dad pa|Confiance,  foi
dag pa'i zhing|Champ pur Terre pure
dag snang|Apparences pures Vision pure,
dag pa'i snang ba|Apparences pures Vision pure,
dal ba|Etre libre, ne pas avoir de préoccupation, Loisir, liberté, Repos, calme, détendu.
dal 'byor|Libre et qualifié.
dam bca'|Thèse (soutenue), assertion, Vou, Promesse,  Serment.
dam can|Assermenté, Qui a fait serment
dam pa|"Supérieur, noble; Sacré, sublime, suprême, saint; Authentique."
dam pa'i bdag|Le suprême soi, Le Soi
dam tshig|Samaya, Serment sacré, Promesse sacrée, Lien sacré.
dam tshig pa|L'aspect symbolique (de la déité) (qui fait le lien sacré) La déité lien.
dam tshig sems dpa'|La présence lien, L'aspect médiateur, medium. L'aspect symbolique (de la déité) (qui fait le lien sacré) La déité lien.
dang ba'i dad pa|Confiance de l'inspiration, * de l'admiration
dang pa|Clair, transparent, Limpide, pur, sincère,
dang ba|Clair, transparent, Limpide, pur, sincère,
dwang ba|Clair, transparent, Limpide, pur, sincère,
dangs|Clair, transparent, Limpide, pur, sincère, Purifier, clarifier
dwang pa|Clair, transparent, Limpide, pur, sincère, Purifier, clarifier
'das pa|Au-delà, Transcendant, Transcender, Aller au-delà,  Dépasser
dbang|Pouvoir, Capacité, Habilitation, Initiation, Consécration
dbang bskur ba|Conférer une initiation,  Transmette le pouvoir de,  Habilité pour la pratique de, Consacrer,
dbang 'byor ba|Atteindre la maîtrise de, Arriver à maîtriser,
dbang bsgyur ba|Atteindre la maîtrise de, Arriver à maîtriser,
dbang bzhi|Les quatre:  - initiations, - consécrations, - habilitations, - confert de pouvoirs, - pouvoirs
dbang du bsdu ba|Mettre sous son pouvoir, Amener sous contrôle, subjuguer, contrôler
dbang du byed pa|Controler, Maîtriser, Dominer,
dbang du mdzad pa|Controler, Maîtriser, Dominer,
dbang lung khrid|Initiation, transmission scripturaire et instructions
dbang phyug pa|Isvara, Le Tout puissant, Le Très puissant,
dbang po|Faculté, Facultés sensorielles, Pouvoir, Capacité,
dbang thang|Force et pouvoir, Influence,
dben pa|Isolé, Isolation, Vide de. Etre à l'écart, Lieu désert,
dbri bsnan med pa|Sans croissance ni décroissance,
bzhag bsal med pa|Sans croissance ni décroissance,
bzhag dang bsal med|Sans croissance ni décroissance,
dbu gtsug|sommet de la tête
dbu ma|Milieu, Médian, Centre, Madyamaka, Voie médiane, Voie du milieu, Canal central,
dbu ma'i lam|Voie médiane, Voie du milieu, Canal central,
dbu ma chen po|Le grand madhyamaka
dbu ma pa|Un madhyamika, Une personne qui professe la perspective de la voie du milieu
dbu ma rang rgyud pa|Madhyamaka svatantrika, Madhymika professant des thèses subsistant en elle-même (de par leurs caractéristiques propres, autonomes), Madhyamika professant des thèses autonomes.
dbu mdzad|Chantre, Cantor, Conducteur (du chant), Guide (du rituel),
dbu tshugs pa|Commencer, Débuter,
mgo tshug pa|Commencer, Débuter,
dbugs 'byin pa|Consoler, Réconforter, Libérer, Délier, Absoudre, Donner rémission, Expirer,
dbugs dbyung ba|Consoler, Réconforter, Libérer, Délier, Absoudre, Donner rémission, Expirer,
dbyangs|Mélodie, Air (de chants) Voyelles,
dbyangs bsnyad|Hymne chanté, Proclamation chantée,
dbyangs su bsnyad pa|Hymne chanté, Proclamation chantée,
dbyangs 'char|Un type de divination par la numérologie interprétant les voyelles et les consonnes associées à des nombres.(à vérifier)
dbyangs snyan|Mélodieux,  Le coucou,  Chanteur divin Gandharva (dri za )
dbyangs yig|Les voyelles
dbyar gnas|Retraite d'été, (Période de) résidence (pendant) l'été
dbye ba|Divisions, Distinctions, Catégories,
dbye bsal med pa|Sans divisions claire, Sans distinctions claire, Sans séparation distincte,
dbyer med|Inséparable, Indissociable, Indifférenciable, Uni,
dbye bar med pa|Inséparable, Indissociable, Indifférenciable, Uni,
dbye ba med pa|Inséparable, Indissociable, Indifférenciable, Uni,
dbyings|Immensité, Sphère, Domaine,
dbyug pa|"Bâton, Baguette;"
be con|"Bâton, Baguette;"
de bzhin gshegs pa|Tathâgata Parti en l'ainsité
de bzhin gshegs pa'i snying po|La nature de Bouddha,  La nature de Tathagata,
de bzhin nyid|Ainsité
de kho na nyid|Ainsité, Tathatâ
de nyid|Ainsité, Tathatâ
de ma thag pa'i rkyen|La cause de succession immédiate.
dgag sgrub|Arrêter ou activer Entraver ou produire Stopper ou induire
dge ba|Vertu, Bien, bon
dge bshes|Kalyanamitra Ami de vertu
dge ba'i bshes|Kalyanamitra Ami de vertu
dge bsnyen|Upasaka / Upasika. Apprenti de la vertu  Pratiquant dans la vie
dge bsnyen ma|Upasaka / Upasika. Apprentie de la vertu  Pratiquante dans la vie
dge 'dun|Le Sangha, Communauté, confrérie
dge sbyong|Pratiquer la vertu, S'entraîner à la vertu
dge sdig|Actes positifs ou négatifs, Vertus et vices Vertus et non vertu
dge mi dge|Actes positifs ou négatifs, Vertus et vices Vertus et non vertu
dge slong|Bikshou Moine pleinement ordonné: "Celui qui développe la vertu".
dge slong ma|Bikshouni Moniale pleinement ordonnée: "Celle qui développe la vertu".
dge tshul|Sramanera Premier niveau de l'ordination monastique: «Celui  qui a des manières vertueuse»
dge tshul ma|Sramaneri Premier niveau de l'ordination monastique: «Celle qui a des manières vertueuse»
dgongs pa|Penser (honorifique) Intention,
dgra bcom pa|Arhat Destructeur de l'ennemi Soumetteur des ennemis
dka' thub|Ascése, austérité, épreuve, endurance.
dka' spyod|Ascése, austérité, épreuve, endurance.
dkar po|Blanc
dkon mchog gsum|Les Trois Joyaux
dkyil|Centre, milieu,
dkyil 'khor|Mandala, Structure, Centre et périphérie,
dmar khrid|Instructions crues, brutes, qui ne cachent rien,
smar khrid|Instructions crues, brutes, qui ne cachent rien,
dmigs gtad|Orientation, Direction, Point de référence,
dmigs med|Sans représentation, Sans référence,
mi dmigs|Sans représentation, Sans référence,
dmigs su med|Sans représentation, Sans référence,
 'khor gsum dang bral ba|Sans représentation, Sans référence,
dmigs pa|Orientation, Direction, Ce vers quoi l'on se dirige, l'on se tourne Ce que l'on se représente, Se tourner vers, Se diriger vers, Représentation, Imagination, Visualisation,
dmyal ba|Enfer,
dngos|réel, vrai, manifeste, évident, direct, principal
dngos 'dzin|Saisir comme réel
dngos por 'dzin pa|Saisir comme réel
dngos por zhen pa|Saisir comme réel
dngos grub|accomplissements, réalisations (spirituels)
dngos med|Sans réalité véritable, Non concret, Insubstanciel. «Qui n'est pas établi en tant que caractéristiques propres, ou qui n'a pas la capacité d'accomplir une fonction.»
dngos po med  pa|Sans réalité véritable, Non concret, Insubstanciel. «Qui n'est pas établi en tant que caractéristiques propres, ou qui n'a pas la capacité d'accomplir une fonction.»
dngos po|Chose, réel, réalité,  Fonction, action,
dngos po med pa|Sans réalité, Sans fonction.
dngos po mtshan ma med pa|Sans les (dépourvu des) caractéristiques d'une chose réelle.
dngos por grub pa|Etabli comme chose réelle
'dod chags|Désirs-attachements
'dod don|Les désirs, Ce qui est désiré
'dod khams|Le monde des désirs, L'état des désirs,
'dod pa|Tenir, soutenir, Désir, soif,
'dod pa'i dad pa|confiance de l'aspiration
'dod pa'i yon tan|Qualités sensorielles, Les qualités auxquelles on s'attache
'dogs pa|Lier, Attacher, Affixer, Porter, Imputer, Désigner
don|"Fonction, acte; Sens, signification; Etat, mode réel, réalité; Le bien, ce qui est bon; Chose;  Organe interne, Particule entrant dans la composition des nombres."
don dam bden pa|"Réalité ultime; Réalité absolue; La réalité du sens ultime; Vérité ultime; Vérité absolue."
don dam pa|Sens, réalité, véritable, ultime
