'bras bu| Fruit
'gro ba drug|six classes d'êtres migrants
'gro ba rigs drug|six destinées, six classes d'êtres
'grub 'bras|facteurs produits
'grub byed|facteurs producteurs
'gyod pa|regret, remords
'gyogs pa|vitesse
'gyur ba'i sdug bsngal|souffrance du changement
'ja' lus 'pho ba chen po|corps d'arc-en-ciel du grand transfert
'ja' lus|corps d'arc-en-ciel
'ja' mtshon|arc-en-ciel
'jig pa'i bskal pa|kalpa de destruction
'jig rten|monde (support périssable)
'jig rten 'das par smra ba|Lokottaravadin (école)
'jig rten chos brgyas|huit dharma mondains
'jig rten grags sde spyod pa'i dbu ma pa|partisans madhyamika des vues du monde
'jig rten las 'das pa'i chos|phénomènes supramondains
'jig rten las 'das pa'i dag pa la dbang byed|facultés pures qui régissent les vertus supramondaines
'jig rten las 'das pa'i lam|voie supramondaine
'jig rten las 'das pa'i rigs|familles supramondaines
'jig rten las 'das pa'i rigs gsum|trois familles supramondaines ou de bouddhas
'jig rten las 'das pa'i she rab|sagesse supramondaine
'jig rten las 'das pa'i srung ma|protecteurs de sagesse
'jig rten mgon po|protecteur du monde
'jig rten na grags pa'i tshad ma|moyen de connaissance valide dans le domaine mondain
'jig rten pa'i bsrung ma|protecteurs mondains
'jig rten pa'i dge ba la dbang byed|facultés qui régissent les vertus mondaines
'jig rten pa'i lam|voie mondaine
'jig rten pa'i rigs gsum|trois familles mondaines
'jig rten rtse mo'i chos|dharma suprême du monde
'jig rten skyong ba|gardiens de l'univers
'jig tshogs la lta ba|croyance au soi (en tant que collection transitoire)
'jigs med gnas pa|Abhayagirivadin (école)
'jigs pa'i sgra bzhi|les quatre sons terrifiants (dans le bar do).
'jog sgom|méditation d'accès
'jug bya'i mngal sgo 'gag pa|bloquer la porte de la matrice où l'on doit entrer
'jug byed gang zang 'gag pa|arrêter ou bloquer l'individu qui fait son entrée dans la matrice
'jug pa|continuité
'jug pa|entrée, introduction, manifestation
'jug pa'i byang chub sems|bodhicitta de mise en ouvre
'jug pa'i sems bskyed|bodhicitta de mise en ouvre
'jug yul|objet d'engagement ou d'application
'khon du 'dzin pa|ressentiment, rancune
'khor 'das dbyer med|l'indivisibilité du sa?sara et du nirva?a
'khor 'das ru shan dbye ba|opérer la disjonction du sa?sara et du nirva?a
'khor ba|cycle des existences
'khor ba'i ru log|renversement du sa?sara
'khor bar 'khyams|errance dans le sa?sara
'khor brten|moulin à prières
'khor gsum|trois pôles de l'acte
'khor lnga sde bzang po|cinq premiers disciples (du Bouddha)
'khor lo|roue, roue de canaux
'khor lo rig 'dzin|vidyadhara de la roue
'khor los sgyur pa'i rgyal po|souverain à la roue, souverain universel
'khor yug gi lcags ri|montagnes de fer qui entourent l'univers
'khrul gzhi|base de l'illusion
'khrul lugs|mode de tromperie, mode d'illusionnement
'khrul pa|tromperie, illusion
'khrul snang sna tshogs 'char ba'i cha|aspect émergeant des diverses apparences trompeuses
'khrul tshul|mode d'égarement
'khrul zlog|renverser l'illusion
'khrus pa|ablution
'khyams 'gog pa'i mngon rtogs|réalisation parfaite de l'arrêt de l'errance
'od byed pa'i sa|Illuminatrice (3eterre)
'od gsal|claire lumière
'od gsal bar dor ngo sprad pa|présentation de la claire lumière en tant que bar do
'od gsal gyi gdams pa|yoga de la claire lumière
'od gsal gyi sems|esprit de claire lumière
'od gsal gyi sgom pa|méditation de la claire lumière
'od gsal gyis mngal sgo dgag pa|fermer la porte de la matrice grâce à la claire lumière
'od gsal ngo sprod|présentation de la claire lumière
od gsal zung 'jug la thim pa|dissolution de la claire lumière dans l'union
'od lus|corps de lumière
'od phro ba'i sa|Rayonnante de lumière (4eterre)
'od rtsa|canaux de lumière
'og sgo la brten pa'i thabs|méthode qui s'appuie sur les portes inférieures
phags pa bden bzhi|quatre nobles vérités
'phags lam yan lag brgyad|noble voie octuple
'phags pa|être noble, saint
'phags pa byang chub sems dpa'|noble bodhisattva
'phags pa'i bden pa bzhi|quatre nobles vérités
'phags pa'i dge 'dun|noble sa?gha
'phags pa'i gang zag|personne noble ou sainte
'phan byed yan lag|facteurs projetants
'phang byas|facteurs projetés
'phar ba|ceux qui bondissent
'pho ba|1) transfert de conscience, 2) transmigration
'pho ba'i gdams pa|yoga du transfert de conscience
'phreng ba|guirlande, rosaire
'phrin las bzhi|quatre activités éveillées
'phrog ma|yak?ini ravisseuse
'phrul 'khor gyi rnal 'byor|yoga des rouages (yoga physique)
'phrul gshen gyi theg pa|véhicule gshen de l'illusion (bon)
'phag pa'i bden|noble vérité
'tshig pa|malveillance, malice
'tsho ba'i yo byad bcu gsum|treize articles d'un moine
'tshor ba'i dbang byed|facultés qui font éprouver les bons et mauvais résultats des actes
a dkar gyi theg pa|véhicule du A blanc (Bön)
ba dan|drapeau, bannière
bag chags|rémanence, trace, empreinte ou imprégnation karmique
bag chags kyi gzhi|base des empreintes karmiques
bag chags kyi sgrib pa|obscurcissement des tendances habituelles
bag chags rmi lam bar do|état intermédiaire des rêves [produits par] les empreintes karmiques
bag la nyal|latences, influences
bag med|négligence
bag yod|diligence, soin
baiDUR+Ya|lapis-lazuli
bang mdzod lta bu'i sems bskyed|bodhicitta semblable à un trésor
bar bskal|petits kalpa
bar chad|obstacles, empêchements
bar do|état intermédiaire
bar do 'khrul snang|les apprences trompeuses de l'état intermédiaire
bar do 'phrang lam|étroite et dangereuse sente du bar do.
bar do 'phrang sgrol gyi smon lam|prière de libération de l'étroit passage du bar do
bar do med par sangs rgyas pa|Éveil sans état intermédiaire
bar do'i gdams pa|yoga de l'état intermédiaire
bar do'i rlung lus|corps de bardo fait de souffles et de conscience
bar dor 'da' ba|ceux qui ne reviennent pas en passant dans l'état intermédiaire
bar dor rtsal sbyong|entraînements ayant trait à l'état intermédiaire
bar ma do'i srid pa|état intermédiaire, existence intermédiaire
bcom ldan 'das|bienheureux, vénéré du monde
bcud|contenu ou essence
bdag|"moi", "soi"
bdag 'dzin|appropriation d'un "soi"
bdag bskyed|visualisation de soi-même
bdag gi lta ba|croyance au "soi", vue du "soi"
bdag gzhan mnyam brje|échanger soi-même et autrui
bdag la byin brlabs rim pa|isolement de la consécration de soi
bdag la byin rlab gyi rim pas|étape de la consécration de soi
bdag las skye ba|production à partir de soi
bdag lta'i bag chags|empreintes de la saisie du soi
bdag med|absence de soi
bdag po|prédominance, facteur principal, facteur régent
bdag po'i 'bras bu|résultat conforme au pouvoir ou régenté
bdag po'i rkyen|condition régente
bde 'gro|destinées heureuses ou favorables
bde ba|félicité, bien-être, plaisir
bde ba chen po|grande félicité
bde ba'i dbang po|faculté d'éprouver le plaisir
bde ba'i rba rlabs|vagues de félicité
bde bar gshegs pa|celui qui est allé dans le bien, le bien-allé
bde bar gshegs pa lnga|les cinq Sugata
bde chen 'khor lo|roue de grande félicité
bde gsal mi rtog pa|félicité, clarté et absence de pensées
bde gshegs snying po|essence de bien-allé, syn. de tathagatagarbha (de gshegs snying-po)
bde skyong gi 'khor lo|roue qui soutient la félicité périnée
bde stong dbyer med|indivisibilité de la félicité et de la vacuité.
bde stong zung 'jug|union de la félicité et de la vacuité
bden bzhi rnam pa bcu drug|seize attributs des quatre nobles vérités
bden grub|réellement établi
bden pa gnyis|deux réalités
bdud|"tentateur", démon
bdud bzhi|quatre types de démons
bdud rtsi|ambroisie, goutte essentielle masculine
bdud rtsi lnga|cinq ambroisies
bdud rtsi'i ril bu|pilules d'ambroisie
bdug spos pa|encens
bdun tshigs|fin de semaine tous les 7 jours après la mort.
bgegs|démon créateur d'obstacles
bgegs gtor|torma d'offrande aux créateurs d'obstacles
bka' babs lung bstan|autorisation prophétique
bka' bsdu|concile
bka' ma|transmission orale
bka' rtags kyi phyag rgya bzhi|quatre sceaux des préceptes
bka' thub rig byed kyi theg pa|véhicules d'ascèse védique
bkra shis|de bon augure, favorable
bkra shis rdzas brgyad|huit substances de bon augure
bkra shis rtags brgyad|huit symboles de bon augure
bkrag mdangs bskyed pa'i rlung|souffle qui engendre l'éclat vital
bkrus pa|ablutions, laver
bla gos|robe monastique
bla ma|maître spirituel
bla ma pa|Uttariya (école)
bla ma'i rnal 'byor|union avec le maître
bla ma'i rnal 'byor|le yoga du maître
bla med theg pa|véhicule insurpassable (Dzogchen bön)
bla med theg pa|véhicule insurpassable, rDzogs chen
bla yid sems gsum|triade âme, souffle et esprit
bla|âme vitale
bogs 'don|susciter le progrès, rehausser l'expérience
bon gsar ma|nouveau bon.
bon gyi theg pa dgu|neuf voies du bon
bon rnying ma|vieux bon.
bral ba'i 'bras bu|résultats de cessation
bral ba'i yon tan so gnyis|trente-deux qualités de libération d'un bouddha
bram ze|brahmane, moine indien (d'après le chinois)
brda' brgyud|lignée de transmission symbolique
brda' yig|langage symbolique des ?akini
brdzus skyes|naissance par apparition miraculeuse
brgyud pa'i bla ma|maîtres de la lignée
bri med 'phel ba med de bzhin nyid|tathata sans diminution ni accroissement
brjed nges|oubli, défaut de mémoire
brjod du med pa|inexprimable
brnab sems|convoitise ou envie
brtags grol|libération par le port
brten bzhugs|«rester ferme», rite de longévité pour un bla ma
brtson 'grus|courage, énergie
brtson 'grus dbang po|faculté de la diligence
brtson 'grus kyi stobs|force de l'effort
brtson 'grus pha rol tu phyin pa|perfection du courage, de l'énergie
brtul zhugs|ascèse yogique
bsam gtan|stabilité méditative, niveau d'absorption méditative
bsam gtan|concentration ou dhyana
bsam gtan bar do|état intermédiaire de l'absorption méditative
bsam gtan bzhi pa|quatrième dhyana
bsam gtan dang po|premier dhyana
bsam gtan dang rnam par thar pa dang ting nge 'dzin dang snyoms par 'jug pa dang kun nas nyon mongs pa dang rnam par byang ba dang ldang pa thams cad kyi stobs|pouvoir de connaître les concentrations méditatives, les libérations, les recueillements et égalisations ainsi que les phénomènes souillés et les phénomènes totalement purs
bsam gtan gnyis pa|deuxième dhyana
bsam gtan gsum pa|troisième dhyana
bsam gtan gyi zhag|jour de dhyana
bsam gyis mi khyab pa|inconcevable
bsam las 'das pa|au-delà de tout concept
bsam pa|intention d'agir, pensée
bsam pa las byung ba'i shes rab|connaissance par la réflexion
bsam pa'i las|karma voulu ou motivé
bsam pa'i stobs|force de la réflexion
bsdig pa|avertissement disciplinaire
bsdu ba'i dngos po bzhi|quatre attraits pour rassembler les disciples
bse ru lta bu'i rang sangs rgyas|bouddha-par-soi semblable à l'unicorne
bsgom pa las byung ba'i shes rab|connaissance par la méditation
bshad rgyud|tantra explicatifs
bshags pa|confession
bshos gtor|petite gtor ma d'offrande
bskal bzang|kalpa fortuné
bskal chen|grand kalpa
bskal chen bgrang du med pa|période de temps incalculable
bskal pa|ère cosmique
bskal pa las kyi rlung|souffle karmique du kalpa
bskrad pa|renvoi temporaire
bskul ba|requête
bskyed rdzogs gsum|développement, achèvement et grande perfection (trois tantra internes des rNying ma)
bskyed rim|phase de développement
bslab|entraînement, exercice spirituel
bslab pa|règles de conduite (112)
bslab pa gsum|trois entraînements
bsngo ba|dédicace ou réversion des mérites
bsnyen gnas yan lag brgyad|huit voux de laïcs pour un jour
bsnyen pa|récitation d'approche.
bsnyil ba|expulsion définitive du sangha
bsod nams|mérites
bsod nams kyi las|karma méritoire
bsod nams kyi tshogs|accumulation de mérites
bsod nams ma yin pa'i las|karma déméritoire
bsre ba dgu|neuf mélanges
btags grol|libération par le port
btags pa|désignations nominales
btags par smra ba|Prajñaptivadin (école)
btang snyoms|équanimité, impartialité
btang snyoms kyi dbang po|indifférence
btang snyoms tshad med|équanimité illimitée
btang snyoms yongs dag|équanimité pure
btsan thabs kyi 'pho ba|transfert énergique
btsan thabs|méthode énergique, en force
bu ma dang 'phrad pa ltar|semblable au fils qui retrouve sa mère
bu'i 'od gsal|claire lumière-fils
bum can|respiration en vase.
bum pa|aiguière, vase
bum pa'i dbang|transmission de pouvoir du vase
bya khyung|oiseau mythique
bya rdzogs kyi skad cig|instants d'achèvement d'un acte
bya rgyud|tantra de l'action
bya rgyud|tantra de l'action
bya sgrub ye shes|sagesse tout-accomplissante
bya sgrub ye shes|sagesse tout-accomplissante
byams pa|amour
byams pa chen po|grande bienveillance
byams pa tshad med|amour ou bienveillance illimitée
byang bu sreg pa|brûler le byang bu
byang bu|effigie du défunt avec support du nom ming byang
byang chog|rituel de l'effigie du défunt
byang chub sems|esprit d'Éveil
byang chub sems dpa'|être d'Éveil
byang chub sems dpa' sems dpa' chen po|bodhisattva grand être, grand être d'Éveil
byang chub sems dpa'i mngon rtogs|réalisation parfaite des bodhisattva
byang chub sems dpa'i rigs|lignée des tathagata (ou des bodhisattva destinés à devenir des tathagata)
byang chub sems dpa'i sdom pa|voux des bodhisattva
byang chub sems dpa'i theg pa|véhicule des bodhisattva
byang chub sems kyi dkyil 'khor|ma??ala de la bodhicitta
byang chub sems ma brgyad|huit bodhisattva féminins.
byang chub yan lag bdun|sept facteurs de l'Éveil
byang chub phyogs kyi chos bdun|sept facteurs de l'Éveil
byang chub yan lag sum bcu rtsa bdun|trente-sept auxiliaires de l'Éveil
byang chub ye shes|sagesse de l'Éveil
bye brag smra ba|école de la Grande Exposition
bye brag smra ba'i sde pa bco brgyad|dix-huit écoles anciennes
byed rgyu|cause productrice
byin rlabs|bénédiction, influence spirituelle
bying rgod|torpeur et agitation
byol song|destinée des animaux.
byug pa|onguent
byung gnas 'gro gsum|origine, demeure et destination des pensées
bzang lam pa|Bhadrayaniya (école)
bzang po|bon, excellent
bzhugs stangs|posture corporelle.
bzlas brjod|récitation, répétition d'un mantra
bzlog pa|repousser, écarter les influences néfastes
bzo bo sprul sku|émanations sous forme d'artisans et d'objets d'art sacré
bzod pa|patience ou acceptation
bzod pa'i pha rol tu phyin pa|patience transcendante
bzod par gsol ba|acceptation tolérante, réintégration des moines
cha mthun gyi rgyud|tantra complémentaires
chab dkar|Eaux blanches.
chab gtor chu sbyin|offrande de gtor ma d'eau
chab nag|Eaux noires
chad mtha'|nihilisme
chad pa|néant
chad pa'i lta ba|vue du nihilisme
chad lta|vue du nihilisme
chags pa'i bskal pa|kalpa de formation
chags pa'i gnas skabs|moment de l'union sexuelle
chags sdang bzlog pa|repousser toute pensée de désir-attachement et de colère
char bzang 'bebs pa|Suvar?aka (école)
che ge mo|Un tel
ched du brjod pa|textes biographiques des bouddhas (litt.)
chen po stong pa nyid|vacuité de l'immensité
cho ga gsum|trois rites
chog par mi 'dzin pa'i brtson 'grus|courage insatiable
chos|doctrine, phénomènes, réalité
chos 'byung|source de tous les phénomènes
chos 'chad pa'i phyag rgya|mudra de l'argumentation
chos 'khor|"1ºroue du Dharma; 2ºroue de la réalité absolue"
chos 'khor gyi phyag rgya|mudra de la mise en mouvement de la roue du Dharma
chos can|doté de dharma, objet qualifié
chos can mthun snang du grub|objet posé en commun par les deux opposants
chos dbyings kyi ye shes|sagesse de l'espace réel
chos dran pa nyer gzhag|fixation de l'attention sur les objets mentaux
chos gos|robes du Dharma
chos khams kyi sems byung|facteurs mentaux de l'élément des phénomènes mentaux
chos kyi 'dzin pa|préhension des phénomènes
chos kyi 'khor lo|roue de la réalité absolue, roue du Dharma, roue de la réalité au cour
chos kyi bdag|substance des phénomènes
chos kyi bdag med|insubstantialité des phénomènes
chos kyi bde ba'i longs spyod kyi ye shes|sagesse qui jouit du plaisir du Dharma
chos kyi bzod pa|adhérer au Dharma avec patience
chos kyi dbyings|espace réel, dimension de la réalité absolue
chos kyi dbyings kyi ye shes|sagesse du dharmadhatu
chos kyi khams|sphère des objets mentaux
chos kyi mngon rtogs|réalisation parfaite de l'enseignement
chos kyi mtshan nyid|caractéristiques des phénomènes
chos kyi phyag rgya|symbole qui scelle les phénomènes, sceau du Dharma
chos kyi sbyin pa|générosité spirituelle
chos kyi skye mched|source des objets mentaux
chos kyi sprin gyi sa|Nuées du Dharma (10eterre)
chos mchog|Dharma suprême du monde
chos mchog pa|Dharmottariya (école)
chos mngon pa|phénoménologie
chos nyid|réalité absolue
chos nyid|réalité absolue.
chos nyid 'od gsal gyi bar do|état intermédiaire lumineux de la Réalité
chos nyid kyi bar do|bardo de la réalité absolue
chos nyid kyi rigs|raisonnement sur la véritable nature du phénomène
chos nyid mngon sum gyi snang ba|vision de la réalité manifeste
chos nyid zad pa'i snang ba|vision de l'extinction des phénomènes dans la réalité absolue
chos nyid zad pa'i snang ba|vision de l'épuisement au sein de la réalité
chos rab tu rnam 'byed|discernement des doctrines, des phénomènes
chos sbas pa|Dharmaguptaka (école)
chos sems la thim|dissolution des phénomènes mentaux dans l'esprit ordinaire
chos sku|"1ºcorps de l'enseignement; 2ºcorps absolu"
chos skyong (srung ma)|déité protectrice des enseignements
chos thams cad stong pa nyid|vacuité de tous les phénomènes
chu bo rgyun gyi rnal 'byor|yoga du fleuve continuel
chu bur|bulle d'eau
chu srin|animal marin mythique
chu zla|reflet de la lune dans l'eau
chu'i dbang|transmission de pouvoir de l'eau ou du vase
chu'i sgron ma|lampe d'eau des yeux
chud mi za ba|résidu karmique perdurable
chung ngu'i 'du shes|perceptions limitées
ci yang med pa'i 'du shes|perceptions du néant
ci yang med pa'i skye mched|sphère du néant
ci yang med pa'i snyoms 'jug|égalisation de la sphère du néant
cig char 'jug pa|entrée instantanée
cig char ba|réalisés instantanés
cod pang gi dbang|transmission de la couronne
cog bzhag bzhi|quatre "laisser-être"
da lta'i gnas pa tshe'i bar do|état intermédiaire de la vie actuelle
dad pa|foi, confiance
dad pa'i dbang po|faculté de la foi
dad pa'i khams|tempérament fervent ou confiant
dag mnyam chen po|grande pureté et égalité des phénomènes
dag pa|pur, pureté
dag pa chos nyid kyi bar do|état intermédiaire de la Réalité pure
dag pa kha spyod kyi gnas su 'pho ba|transfert dans un champ pur de bouddha
dag pa'i sgyu lus|corps illusoire pur
dag pa'i zhing khams|pur champ de bouddha
dag snang|vision pure, perception pure, apparence pure
dal 'byor gyi rten|précieux corps humain support de qualités
dal ba brgyad|huit loisirs de l'existence humaine
dam bca'|proposition, thèse
dam pa gsum|trois nobles principes
dam pa'i chos|Dharma authentique, enseignement juste
dam tshig gi phyag rgya|symbole, sceau du lien sacré
dam tshig gi sdom|voux de samaya.
dam tshig sems dpa'|déité-support
dang po'i mgon po|le Protecteur primordial Vajradhara
dangs ma|essence pure
dangs snyigs 'byed pa'i rlung|souffle qui sépare le pur de l'impur
dbal mo nyer bdun|les vingt-sept déités dbal mo (Bon)
dbang|transmission de pouvoir
dbang bskur ba|conférer la transmission de pouvoir
dbang gan zhus pa'i mtshan|nom d'initiation
dbang gi las|activité de magnétisation, de contrôle
dbang phyug ma nyer brgyad|les vingt-huit Isvari
dbang po|facultés des sens
dbang po 'bring rnams|pratiquants de capacité moyenne
dbang po 'bring|facultés moyennes
dbang po drug|six facultés ou pouvoirs des sens (5+ faculté mentale)
dbang po gsum|trois types de capacités ou de facultés
dbang po lnga|cinq facultés ou pouvoirs des sens
dbang po rab rnams|pratiquants de capacité supérieure
dbang po rno po|facultés aiguës, grande pénétration
dbang po rno rtul 'bring gsum|trois types de facultés, aiguë, émoussée et moyenne
dbang po sna tshogs kyi stobs|pouvoir de connaître les diverses facultés intellectuelles des êtres
dbang po tha ma|facultés inférieures ou obtuses
dbang po tha ma rnams|pratiquants de capacité inférieure
dbang po'i khams|éléments des facultés des sens(6)
dbang po'i mngon sum|perception directe des sens, évidence sensorielle
dbang po'i mngon shes drug|six connaissances supranormales issues des organes des sens
dbang rab|facultés excellentes
dbang rnon|facultés aiguës
dbang thang|pouvoir personnel.
dbu ma|école de la Voie médiane
dbu ma chen po|grand Madhyamika
dbu ma gzhan stong|philosophie de la vacuité extrinsèque (Madhyamika shentong)
dbu ma thal 'gyur pa|école des conséquentialistes de la Voie médiane
dbu'i lam|voie du milieu
dbyangs bsnyed|chants à demi-versifiés
dbyar gyi ras chen|cape de pluie monacale
dbyer med pa|inséparabilité des qualités
dbyibs|figure spatiale
dbyings rig dbyer med|indivisibilité de l'espace du réel et de la présence éveillée
dbyings rnam dag gi sgron ma|lampe de l'espace très pur
dbyings ye dbyer med|indivisibilité de l'espace matriciel et de la sagesse primordiale
dbyung ba|pardon
dbyung byed|fautes entraînant expiation (90)
de bzhin gshegs pa|l'ainsi-allé, celui qui est venu ainsi
de bzhin gshegs pa'i rigs|famille du Tathagata
de bzhin gshegs pa'i snying po|essence de tathagata, nature de bouddha
de bzhin gshegs pa'i stobs bcu|dix forces ou pouvoirs des tathagata
de bzhin nyid|ainsité
de bzhin nyid kyi ting nge 'dzin|samadhi de l'ainsité
de bzhin nyid ting nge 'dzin|samadhi de l'ainsité
de bzhin nyid las byang chub|éveil manifeste qui surgit de l'ainsité
de bzhin nyid sde bcu|dix tathata
de gshegs snying po|«essence de tathagata», nature de bouddha
de kho na mngon rtogs|réalisation parfaite du réel
de kho na nyid|ce qui est, l'ainsité
de ltar byung ba|aventures historico-légendaires
de ma thag rkyen|condition immédiatement antécédente
dga' ba|joie
dga' ba bzhi|quatre joies
dga' ba tshad med|joie illimitée
dga' bral|au-delà de la joie, joie éminente
khyad dga'|au-delà de la joie, joie éminente
dga' brod kyi bdud|démon de la jubilation
dgag bya|objet à réfuter
dgag pa|négation, réfutation
dge 'dun|communauté
dge 'dun nyi shu|vingt sortes de membres du sa?gha
dge 'dun phal chen pa|école de la Grande Assemblée
dge ba|vertu, vertueux, moral, sain, bénéfique
dge ba bcu|dix actes vertueux
dge ba bcu'i sdom pa|préceptes des dix actes vertueux
dge ba ma skyes pa bskyed pa|développement des actes vertueux non encore produits
dge ba skyes pa spel ba|accroissement des actes vertueux déjà produits
dge ba'i bshes gnyen|ami spirituel
dge ba'i chos sdus kyi tshul khrims|éthique de rassemblement des vertus, pratiquer le bien
dge ba'i de bzhin nyid|telléité des choses vertueuses
dge ba'i las|acte, karman vertueux
dge ba'i sems byung bcu gcig|facteurs vertueux(11)
dge bsnyen  gyi theg pa|véhicule des adeptes vertueux (moines dans le Bon)
dge bsnyen|fidèle laïc
dge bsnyen gyi sdom pa|préceptes des fidèles laïcs(5)
dge bsnyen gyi theg pa|véhicule des adeptes vertueux
dge bsnyen ma|fidèle laïque
dge bsnyen ma'i sdom pa|préceptes des laïques(5)
dge slob ma'i sdom pa|préceptes des nonnes probationnaires (36+10)
dge slong|moine
dge slong ma|nonne
dge slong ma'i sdom pa|préceptes des nonnes pleinement ordonnées
dge slong pha'i sdom pa|préceptes des moines pleinement ordonnés
dge tshul|moine novice
dge tshul ma|nonne novice
dge tshul ma'i sdom pa|préceptes des nonnes novices(36)
dge tshul pha'i sdom pa|préceptes des moines novices(36)
dgon pa|"lieu de séjour", monastère
dgongs brgyud|lignée de transmission de l'esprit des vainqueurs
dgongs gter|terma de l'esprit
dgongs pa|l'intention, la pensée (dessein d'un être sublime), l'esprit de sagesse
dgra bcom 'bras gnas|ceux qui jouissent du fruit de l'état d'arhat
dgra bcom pa|arhat, "vainqueur de l'ennemi", méritant
dgra bcom zhugs pa|ceux qui approchent du fruit de l'arhat
dgra can|1) effecteur d'éclipses, 2) canal central
dkar 'jam rtsa'i sgron ma|lampe du canal blanc et doux
dkar lam|blancheur.
dkar tshogs|fête blanche
dkon mchog gi mngon rtogs|réalisation parfaite des trois joyaux
dkon mchog gsum|trois joyaux, trois rares et précieux
dkyil 'khor|disque, ma??ala
dkyil 'khor rgyal mchog gi ting nge 'dzin|recueillement du suprême Vainqueur du ma??ala
dmar lam|rougeoiment
dmar thag chod|décision définitive
dmar tshogs|fête rouge
dmigs pa 'dzin pa|saisie d'un objet
dmigs pa|visualisation, observation, objet
dmigs pa'i stobs|force de la visualisation
dmigs rkyen|condition en qualité d'objet
dmigs yul|objet considéré
dmigs yul gyi khams|six objets des sens
dmyal ba|enfers
dngos grub|accomplissement
dngos gzhi|partie principale
dngos med stong pa nyid|vacuité des choses inefficientes ou insubstantiels
dngos med|insubstantiel.
dngos po|choses efficientes, substances
dngos po med pa|insubstantiels
dngos po med pa'i ngo bo nyid stong pa nyid|vacuité d'essence des insubstantiels
