bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
'chi 'pho skye ba|de la mort, du transfert et de la naissance
chig chod gcig gis go chod|d'un seul coup
chig chod|d'un seul coup
cho ga|rituel, méthode
chos|doctrine
chos brgyad|huit préoccupations mondaines ('jig rten ..)
chos dbyings|domaine de la réalité/ des qualités - étendue de la réalité, dimension ultime des phénomènes absolue?
chos dbyings kyi ye shes|.du domaine de la réalité, des qualités
chos drug|six doctrines (thabs lam  de la voie de la méthode)
chos kyi phyag rgya|"sceau du dharma, de la réalité ; dharmamudra"
chos kyi sprin gyi sa|terre de nuage de la réalité (dharmamegha bhumi)
chos nyid|vraie nature, nature des phénomènes, nature de la réalité, cours naturel des choses, vraie réalité
chos 'phrul|prodige
chos rgyun ting 'dzin|absorption de la continuité des qualités  (à tshogs lam)
chos sbyin|générosité du dharma
chos sdum|.de la réunion des qualités
chos sku|corps de vérité, réalité
chu bo rab med|rivière sans gué (nadi-vaitarani)
chu bur can|engelure
chu bur rdol ba can|engelure éclatée
chu dbang|initiation de l'eau
chu srang|petite clepsydre (24 secondes=6 respirations) panipala (Note: non trouvé dans dictionnaire sanskrit, trouvé panIyapala)
chu tshod|clepsydre (mesure du temps:24mn)
chud mi za|ce qui ne se perd pas (avipranasa)
cod pan dbang ou dbu rgyan dbang|initiation du diadème ou de la couronne
dag pa bzhi|quatre puretés complètes (et un bouddha)
dam du 'dzin pa|fixation
dam tshig gi phyag rgya|"sceau du samaya, de l'engaement; samaya mudra"
dam tshig sems pa|divinité/déité d'engagement
dang ba'i dad pa|foi limpide
dang po'i mgon po|protecteur originel
dang po'i sangs rgyas|bouddha originel/primordial
dang po'i sbyor ba|union initiale
dbang|initiation
dbang bcu|les dix maîtrises [d'un bouddha]
dbang gi las|activité/rite de domination
dbang phyug|Ishvara
dbang po|des facultés
dbang po lnga'i rlung (rlang dans le manuscrit!)|Souffles des cinq facultés (autre nom des secondaires)
dbang po mngon sum|perception directe sensorielle
dbang po thams cad pa|totalité des facultés
dbang sgyur thabs kyi theg pa|véhicule de la méthode de domination
dbugs chen 'byin pa|don de la grande assurance
dbugs chen rnal 'byor|yoga de la grande inspiration - Terre 6
dbugs dbyung ba|recevoir l'inspiration (smad chad 692) aussi: assurance (bar cha 672)
dbyer med|indissociable,indivisible
dbyibs su byed pa|souffle façonneur (non trouvé)
dbyings gyi ngang|Immensité , dimension absolue (?)
dbyu gu|1/60ème de jour solaire: 24mn = un transit mineur (danda)  ('pho chung)
de bzhin gshegs pa'i dbugs dbyung|assurance d'un ainsi allé (corps de forme)
de bzhin gshegs pa'i rigs|famille d'un ainsi allé
de bzhin gshegs pa'i snying po|essence d'un ainsi allé / allé en la joie
bde bar gshegs pa'i snying po|essence d'un ainsi allé / allé en la joie
de bzhin nyid|ainsité, telléité
de dag gi gnas 'dun pa|(de) l'aspiration au sujet de ces trois [points précédents]
de kho na nyid|ainsité, principe essentiel, réalité (division de bya rgyud)
de ma thag pa'i yid|l'esprit de relation immédiate
dga' ba|joie
dga' ba bzhi|quatre joies (ananda)
dgang ba can|remplir (yoga)
dge sbyor|pratique vertueuse
dge slong|"ordination majeure, moine (Strictement parlant, c'est un religieux vivant en clôture;"
dge slong ma|"ordination majeure, moniale (Strictement parlant, c'est une religieuse vivant en clôture; et nonne est dit ""vieilli"" ou ""par plaisanterie"".)"
dge tshul|ordination mineure
dgongs pa|intention profonde, pensée, intention cachée, Aussi réalisation
dka'|.des difficultés
dka' thub rig byed theg pa|véhicule des austérités des védas
dkar chag|catalogue
dkyil 'khor rgyal mchog|suprême roi des mandalas (absorption)
dmangs rigs|caste laborieuse, des serviteurs (?) sudra
dmar khrid|guidance rouge (nue)
dmigs med|non-objectivation, non référentiel (snying rje.)
dmigs pa|point de référence; support objectif; et aussi visualisation
dmigs pa 'bras bu skye ba|7. Naissance du fruit de l'observation
dmigs rnam|aspect de l'objet d'observation
dmigs yul|objet d'observation
dmyal ba|enfer
dmyal ba mnar med|enfer des tourments incessants
dngos|réel
dngos 'dzin|appréhension/saisie d'une existence réelle
dngos grub|accomplissement
chung ngu dngos grub brgyad|les huit pouvoirs faibles
thun mong dngos grub brgyad|les huit pouvoirs communs
dngos po|chose, réalité,  veut dire aussi "thème"; chose substantielle (au sens d'effectuer une fonction); chose substantielle (phénomène existant en général)
dngos po'i gnas lugs|mode d'être véritable, mode d'être des choses
dngos por grub pa|existence réelle
dngos stobs kyi rigs pa|raisonnement du pouvoir de la chose/par le pouvoir des choses elles-mêmes
dngos su btags|processus créatif
'dod khams|domaine/monde du désir
'dod ma|la désireuse
'dod pa'i dad pa|foi de souhait
'dod yon lam longs|intégrer les plaisirs sensuels à la vie
don|"veut dire aussi ""sujet"" (yul can) ex: tendances subjectives et sujet= point (à traiter); veut dire aussi ""objet"" (perçu)"
don byed|altruisme
don du|en vérité, à vrai dire
don gyis go ba|compréhension implicite/ indirecte ?
don la dmigs|...d'orientation altruiste / d'abnégation (la notion altruisme/abnégation n'est pas trouvée-> trouvé visualisation/réalité)
don 'od gsal|claire lumière de sens/ vraie claire lumière, Clarté lumineuse
dpa'i 'od gsal|.analogique, d'exemple (Note: doute sur l'orthographe du mot : illisible)
dpe byad|sous-marques, marques secondaires (d'un bouddha)
dpe'i 'od gsal|claire lumière d'exemple/ analogique
dpe'i sgyu lus|corps illusoire d'exemple/analogique
dpyid|printemps Syn. de thig le
drag po 'khor lo can|détenteur courroucé de la roue (raudracakrin)
drag po'i las|activité/rite de soumission forcée, courroucée/terrible = mngon sbyod
drag shul sbyor ba|pratique courroucée
dran pa|(de la) mémoire
dran pa nyams pa mi mnga' ba|pas de mémoire défaillante
dran pa nyer gzhag|application étroite de l'attention (aussi trois aspects chez un bouddha parmi les 21 catégories)
drang srong|sage (rishi)
drangs ma|quintessence  (syn: khu ba) Non trouvé dans RY (peut être dans les notes) ?? (Vu avec Georges)
dri bcas med rgyu'i rgyud|continuum causal immaculé
dri bcas rgyu'i rgyud|continuum causal maculé
dri bcas sprul sku|corps d'émanation entaché
dri ma med pa'i sa|terre immaculée (vimala bhumi)
'du 'brel|relation d'inhérence
'du byed|formations, formations mentales, représentations mentales, composants (2ème des douze facteurs de la relation interdépendante)
'du byed zag bcas|formations/composants impurs/contaminés
'du shes|notions, perceptions, perceptions distinctives
'dul ba|maîtriser, contrôler, dompter
dul byed|guide et disciple , celui qui discipline (celui qui est à discipliner)
dul bya|guide et disciple , celui qui discipline (celui qui est à discipliner)
'dun pa sems pa|esprit d'aspiration (un des cinq yogas)
'dun pa'i sems (d)pa'i rnal 'byor|yoga de l'esprit d'aspiration - Terres 1 et 2
dus|temps, durée
'dus byas|composé (ma byas incomposé)
dus bzhi|quatre âges, ères
dus sbyor|conjonction temporelle
dwangs ma snyigs 'byed pa'i rlung|différenciant le limpide et le trouble
'dzag pa|écoulement, dispersion
'dzin pa|"rétention (un des six yogas), saisie appréhension; connaissant, préhensible"
'dzin pa rlung|souffle porteur
g.yo ba|l'animé (opposé de brtan pa)
g.yo ldang|élévation
'gal ba brjod pa'i thal 'gyur|conséquence exprimant la contradiction
gal sbyong|3. Purification majeure
gang zag tsam|simple personne
gcer grol|libération nue
gcig|instantané
cig car|instantané
gcig 'dres|fusions
gcod|trancher  le trancher/la découpe
gdal ba chos nyid|9. Expansion de la nature des phénomènes
gdangs|radiation, irradiation, rayonnement
gdangs 'gag med|expression sans contrainte, ininterrompue
gding ba|assurance (impossible de retrouver ce sens où que ce soit.) Vu avec Georges, à confirmer
gdod ma|commencement, primordial
gdod ma'i sangs rgyas|éveillé primordial
gdod ma'i zad sar dengs|départ au plan de l'extinction première (smad cha 696)
gleng gzhi|"veut dire aussi ""déclaration des fautes"" dans le vinaya"
gnad|essentiel/point essentiel, vital, crucial
gnad du bsnun|percer/frapper les points vitaux
gnas|lieu
gnas dang gnas min|du possible et de l'impossible, de l'approprié et inapproprié
gnas 'gyur|transformation
gnas lugs|"mode d'être, veut dire aussi ""configuration"" (cf, description de l'univers)"
gnas mi 'gyur|8. Séjour immuable
gnas pa|maintien
gnas pa 'jig pa|reversion of state?
gnas skabs|"aussi: ""contexte"""
gnod|.des maux
gnon byed|"aussi: ""accéder"" (à un niveau, smad chad 485)"
gnyan khrod|lieu hanté
gnyis ka'i rgyud|Tantra des deux (division générale)
gnyis ldan|[âge de] la moitié
gnyug ma'i lus|corps originel
gnyug ma'i ngang|nature première
gnyug ma'i sems|esprit originel
go cha|armure
go 'phang|statut, état, rang
goms pa|3. Accoutumance = illuminatrice
grang dmyal|les enfers froids
gri|épée/onguent pour le pied
grib ma|maculé
grol byed shes rab|.de libération
grol lam|voie de libération
grong 'jug|entrée dans un corps
grub mtha' bzhi|les quatre aboutissements (lamdré)
gsang ba|secret, mystère
gsang ba'i theg pa|véhicule secret
gsang ston|maître secret (pour l'ordination)
gser gyi mngal|Hinanyagarbha
gsum ldan|(âge des) trois-quarts
gsung|(de la) parole
gtan tshigs rtogs bzhi|quatre compréhensions par la raison
gtong thun / stong thun|"en général: Synopsis  (smad cha 412) (instruct éso, p266) -> ""sending session"" ??"
gtor ma|offrande propitiatoire, gâteau sacrificiel
gtso bo|principe (pradhana). Le principal (du mandala, dans les tantras de l'action)
gtso sems|esprit principal
gtsug tor|sommet de la tête, couronne
gtum mo|l'ardente, le feu (chaleur intérieur/e)
'gug pa|attirer, attraction
gya nom|excellence, perfection
gyen du 'phags|progression ascendante
gyen rgyu|souffle ascendant (udana)
gza'|planète
gza' zhag chen po|grand jour planétaire
gzhan dbang|le dépendant
gzhan grags rjes dpag|inférence connue d'autrui (prarapcasiddhanamana ?? illisible)
gzhan sems shes pa|la connaissance de l'esprit d'autrui
gzhan stong|vide d'autre, d'altérité
gzhi|base, fondement
gzhi don gyi kun gzhi|base de tout en tant que véritable fondement (smad chad 687)
gzhi gdod ma'i 'od gsal|claire lumière originelle de la base
gzhi'i gnas lugs|mode d'être fondamental
gzhi'i rgyud|continuité de la base
gzhis la mi gnas|(Myriad p.257) n'existe pas en vérité
gzhung|text écrit
gzugs|formes
gzugs brnyan|reflet, image
gzugs khams|monde, domaine de la forme
gzugs med khams|monde, domaine du sans-forme
gzung|connu, préhensible, perçu, appréhendé
gzung rtog|"conceptions objectives (sens non trouvé: semble plutôt ""objet conçu pris comme réel, ou ""objet pur conçu"""
ji lta ba|les choses telles qu'elles sont, télléïté
ji snyed pa|multiplicité, les choses autant qu'elles sont
'jig rten gyi khams|système de monde
'jig rten las 'das pa|supramondain
'jig rten pa|mondain
'jig rten pa'i spyod pa|conduites mondaine, voies du siècle
'jig rten phal ba|.des mondains ordinaires
ju 'dus|maîtrise et fonte Note: sens non retrouvé mais confirmé par Georges
'jug ngogs|passage (gué)
'jug pa|engagement; entrée (une des quatre pratiques des tantras de l'action)
'jur bcad pa|coupure des pensées (smad cha 412)
ka dag|pureté originelle
kha gtam|tradition/transmission orale (l'une des trois divisions générales de la classe des instructions)
kha sbyor|union, embrasement
kha 'thor|varia; paroles dispersées (l'une des trois divisions générales de la classe des instructions)
khams|élément (au sens de nature de Bouddha)
'khor|"assemblée, entourage; prolongement (appendice) (bar chad 672)"
'khor lo|roue, roue de canaux
'khor lo bsgyur|monarque universel
'khor lo can|détenteur de la roue  - cakrin
'khor lo 'tsham|roue rigide (Lamdré)
'khor lo 'chams pa|roue rigide (Lamdré)
khregs chod|briser la solidité
'khrul 'khor|yantra=yoga, exercices physiques (aussi 'phrul)
khrul pa med pa|pas de faute [corporelle ?]
'khrul snang|apparences érronées (?)
khu ba|sperme, esprit d'éveil relatif, fluides régénérateurs, khu rdul, énergies masculines et féminines
khyab brdal chen po|vaste embrassement/imprégnation
khyab bya|l'objet imprégné, embrassé
khyab byed|agent d'imprégnation, embrassant, agent d'inclusion, l'omniprésent, omnipénétrant
khyab byed rlung|omnipénétrant
khyab byed shes rab|.de totale pénétration, omnipénétrante
khyad dga'|joie spéciale (virama)
khyad 'gro|6. Progrès supérieur
khyim ma|la maîtresse de maison
klong sde|division/classe/série de l'immensité
klu rlung|(naga) souffle serpent (secondaire)
ko tra ba|millet
kun brtags|l'imaginé, les imaginations
kun brtags blo bur|imaginations adventices
kun brtags pa'i ma rig pa|ignorance d'imagination, de constructions conceptuelles
kun 'byung 'dren pa'i theg pa|véhicule qui arrache l'origine
kun 'dar|avadhuti (litt. tremblement)
kun dkris|enveloppement (paryavasthana, Asanga, Compendium I,75 syn, de nyon mongs
kun 'gro|des destinées
kun gzhi|base/fondement universel
kun gzhi rnam shes|conscience fondamentale, base de tout
kun nas nyon mongs dang rnam par byang ba|des passions et de l'éveil
kun nas nyon mongs rgyu|cause contaminée
kun rdzob tha snyad|convention pratique
kun slong|motivation, force motivante; impulsion
kun tu brtags pa'i sgrib pa|voile des imaginations
kun tu bzang po|tout bon
kun tu 'dzin pa|pleine d'adhérence (par exemple à un recueillement nyam pa'i.)
kun tu 'od|11. Conglomérats = pleine illumination
kyi hud zer ba|hurlements de froid (huhuva)
lag rjes|effet secondaire
lag rjes mngon sum snang ba|visions directes (smad chad 389)
lam|voie, sentier (cinq)
lam gyi mthud pa|continuité de la voie
lam khyer spyod gsum|trois conduites d'apport, d'intégration à la voie,
las 'du byed|actions conditionnantes
las khyer spyod gsum|trois conduites et apport à la voie d'intégration.
las kyi lam|voie d'action
las kyi phyag rgya|"sceau de l'action; karmamudra"
las kyi rim pa|procédure
las rgya|sceau d'action
las rgyal mchog (rgyul dans le manuscrit)|suprême roi des actes
las rigs|famille de l'action
las rlung|souffles conditionnés, du karma
las slob|maître de cérémonie (pour l'ordination)
ldan 'brel|relation de possession
ldog|"veut dire aussi ""catégorie"" ETP 129 (smad cha 214) - Régression (dans zag ldog , smad cha 571)"
ldog cha nas|sous l'angle de/du point de vue (smad cha 218)
ldog pa'i ngos nas|"sous l'angle de/du point de vue, aussi ""conceptuel"" ????? 653"
ldong ros|réalgar
legs pa'i blo gros kyi sa|"terre ""bonne intelligence"" (sadhumati bhumi)"
len pa|appropriation (9ème des douze facteurs de la relation interdépendante)
lha mo lda'i rlung|souffle des cinq déesses (autre nom des secondaires)
lhag bcas myang 'das|au-delà des peines, avec reste
lhag med myang 'das|au-delà des peines , sans reste
lhag mthong|vision profonde, vue pénétrante.
lha'i bu'i bdud|démon des fils divins
lha'i mig|l'oil divin
lha'i rgyal|fierté divine
lha'i rna ba|l'oreille divine
lhan cig skyes ba dga'|joie co-émergente (sahaja)
lhan cig skyes pa'i ma rig pa|ignorance innée, ignorance foncière
lhan skyes ye shes|sagesse primordiale co-émergente simultanée
lhan thabs|addition, supplément
lhas sbyin rlung|souffle don des dieux (secondaire) non trouvé: trouvé souffle de Devadatta pour lhas sbyin
lhun grub|présence spontanée, spontanéité, présence naturelle
lhun po|l'Eclatant Massif
lngas rtsan|".des joueurs aux cinq (dés) ou de la prospérité, aussi dite ""rgyas ba"" d'expansion"
longs spyod pa|"veut dire aussi ""transit"" en astrologie (sens astrologique non trouvé)"
lta stangs|regard
lug|ida? Ou lug (ram), pour le souffle don des dieux (non trouvé)
lug ram|ida? Ou lug (ram), pour le souffle don des dieux (non trouvé)
lugs|système, tradition
lung|à proclamer l'énoncé
lung chen thob pa|obtention de la grande prophétie (un des cinq yogas)
lung chen thob rnal 'byor|yoga de l'obtention de la grande prophétie - Terre 7
lung gi chos|enseignement des écrits/textes/scripturaire
lung gzhi|canonical stories examplifying the conduct to be emulated by Buddhists
lus gnas lugs|nature fondamentale/mode d'être du corps
lus la sems gyi phyag rgya|sceau de l'esprit sur le corps
lus ngag rnam par rig byed|information corporelle et vocale
ma bcos|sans contrainte
ma brtags par btang snyoms su 'jog pa mi mnga'|pas d'indifférence (équanimité ?) irréfléchie
ma 'dres pa bco brgyad|dix-huit qualités exclusives (d'un bouddha)
ma grub|absence de preuve, illigitimité
ma 'khrul ba'i zhen rig|connaissance déterminatrice
ma ning|sens variés autour de ce qui n'est pas la norme en matière de sexe (peut-être aussi impotence, stérilité)
ma thog ring mo|longue croissance (dans la cosmologie)
ma yin dgag|négation affirmative
man ngag sde|division des instructions
mas brtan|montée successive
mched pa|croissance
mchog bzo|corps d'artisans
mchog gi sprul sku|corps d'émanation de sublimité
mchog skye|corps de naissance
mchog tu dga'|joie suprême (paramananda)
mchog tu mi 'gyur ba'i bde chen|grande félicité suprême et insurpassable
mdo sde rtog pa'i rgyud|tantras de l'habileté des soutras
mdzad pa|acte, activité, activité éveillée (ou mdzad pa phrin las)
mdzad pa phrin las|ses actions
me long lta bu'i ye shes|sagesse primordiale semblable au miroir
me ma mur|fosse de feu
me mnyam rlung|égal au feu / mnyams gnas égalisateur (samana)
med dgag|négation non affirmative
med mtha'|extrême d'inexistence
mi dmigs pa|non objectivable
mi g.yo ba|immuable, inébranlable
mi g.yo ba'i sa|terre inébranlable (acala bhumi)
mi gnas pa|sans localisation/demeure
mi gnas pa'i myang 'das|au-delà des peines sans demeure
mi 'jigs pa bzhi|quatre intrépidités (d'un bouddha)
mi 'jigs pa sbyin pa|générosité d'absence de peur
mi 'phrog pa|inaliènabilité, inviolabilité (des tantras)
mi shigs pa'i thig le|goutte (essentielle) indestructible
mi snang ba|invisibilité (un des 8 siddhis)
mi snang ba|invisibilité
mchil lham|chaussures magiques
mig sman|remède oculaire/remède oculaire
mig yor|diplopie
ming gi rnam grangs|synonyme et aussi terminologie
mkha' sbyod|évolution dans l'espace
bcud len|l'élixir
mkha' spyod|monde céleste (un des 8 siddhis)
mkhrid pa|bile
mngon byang chub|éveil manifeste, effectif, plein épanouissement, plénitude
mngon mtho|conditions/statuts élevées
mngon phyogs|en vue de la réalité (abhimukhi bhumi) (non trouvé sous cette forme:  trouvé->mngon du gyur pa'i sa)
mngon rtogs|séquence de visualisation/ représentation; réalisation manifeste
mngon shes|connaissance supérieure
mngon spyod las|soumission forcée, sujétion (activité de)=drag po
mngon sum|perception directe, manifeste (pratyaksa)
mngon sum bzhi|les quatre perceptions directes
mngon sum mthong|vision, perception directe/manifeste
mnyam gzhag|égalité/établissement méditative/tif
mnyam pa nyid kyi ye shes|.d'égalité
mnyam par ma bzhag pa mi mnga' ba|pas de pensée non concentrée, de défaut d'égalité méditative
mnyam par ma gzhag pa|hors méditation = rjes thob
mnyam par sbyor ba|union
mnyam par spyod pa|conduite de combinaison (Note: sens non retrouvé) Vu avec Georges
mos|des aspirations
mos pa|"veut dire aussi ""inclination"" (ex, des quatre disciples pour les quatre classes de tantras), Veut dire aussi ""imagination"" (ex, s'imaginer comme bouddha)"
mos sbyod|pratique d'aspiration/conviction
mos spyod kyi sa|terre de la pratique d'aspiration/confiante
mtha' drug gi ngag|paroles aux six critères
mtha' grol|libération des extrêmes
mthar lam|sentier des terres 8,9 et 10 (à valider)
mthar phyin|consommation, achèvement
mthar phyin pa|consommation
mthar thug|final, complétude
mthar thug gi don dam|ultime, final ??
mthong ba|vision, perception
mthong lam|sentier de la terre 6
mthor phyin pa|7. Consommation = allée loin
mtshams med|action sans limite
mtshams sbyar|reliaisons (renaissance)
mtshams sbyor|reliaisons (renaissance)
mtshan bcas|(yoga) avec signes
mtshan bcas med|(yoga) sans signes
mtshan 'dzin|saisie de signes
mtshan 'dzin dmigs gtad|objectivation de la saisie de signes (ETP 108)
mtshan 'dzin gyi spros pa|pensée discursive de l'appréhension de signes (ETP 126)
mtshan gzhi|base du/des caractère/caractéristiques
mtshan ma|"signe. Veut dire aussi ""attribut"" (de la déité par ex.)"
mtshan ma med pa|absence de signe
mtshan nyid|caractère/caractéristiques, définition, aussi: dimension (bar cha 669)
mtshan nyid theg pa|véhicule de la dialectique
mtshon byed|symbole, représentation
mtshon rtags|signe symbolique
mu tshod brtsi ba|évaluation des progrès
mun pa|obscurité, pesanteur   tamas
mya ngan med|(nirvana) quiétude, au-delà des peines
nA da|Son primordial, vibration indestructible (gzhom med ....)
nad 'joms|triomphe sur les maladies/vision souterraine
nga rgyal|au sens de préjugé (smad cha 500)
nga tsam|simple Je
ngan 'gro|mauvaises destinées, destinées misérables
nges 'byed mthun|"en harmonie avec la séparation définitive (sbyor lam); passage décisif"
nges 'byed cha mthun gyi sa|"en harmonie avec la séparation définitive (sbyor lam); passage décisif"
nges 'byin|menant à la délivrance (nairyanika)
nges 'byung|sortie définitive (nihsarana) ou renoncement (selon le contexte)
nges 'byung lam|à proclamer la voie de la sortie définitive
nges legs|bien définitif
nges pa lnga|cinq certitudes
nges par rgyu ba|mouvant certain
nges rdzogs|perfection définitive
nges tshig|étymologie (voir sgra don)
ngo bo gcig la ldog pa tha dad|opposés différents pour une nature unique
ngo bo gcig tshul gyi ldog pa tha dad|différents opposés selon le mode d'une identité de nature
ngo bo nyid|essence, vraie nature
ngo bo nyid sku|corps de nature, essence naturelle, nature essentielle
ngo bo|nature
sku|corps; corps d'éveil
ngo rang thog tu 'phrod|reconnaître sa propre nature (visage?)
ngo shes pa|2. Reconnaissance = Immaculée
ngos bzung|reconnaissance; détermination
ngu 'bod|hurlements
ngu 'bod chen po|grands hurlements (maharauvara)
nor can rigs|famille des richesses/du joyau
nor bu'i rigs|famille des richesses/du joyau
nor lha rgyal rlung|souffle roi des richesses (secondaire) (dhananjaya ??)
nyams khrid|guide/guidance par l'expérience
nyams pa med pa|pas de déclin.
nye bar bsdu ba|dissolution
nye bar bsnyen pa|familiarisation (upavesita)
nye bar 'jal ba|analogie  (upamana)
nye 'khor ba'i dmyal|enfers périphériques
nye lam|voie directe (mahayoga) (smad cha 570)
nyer gnas|lieu secondaire (Note: organe femelle dans RY!!!) Confirmé par Georges.
nyer len|appropriation
nyer len phung po|agrégats d'appropriation
nyer len rgyu|cause d'appropriation, cause proche (nye rgyu)/appropriative (principale)
nyer spyod|offrande (dans les gzhi du continuum causal)
nyer thob|proche obtention, culmination
nyi tshe ba'i dmyal ba|enfers occasionnels
nying 'khrul|double illusion
nyon mongs|passions, émotions perturbatrices, perturbations mentales
nyon mongs pa'i bdud|démon des passions
nyon yid|conscience troublée
'od byed pa'i sa|terre illuminatrice (prabhakari bhumi)
'od gsal|claire lumière, clarté lumineuse, luminosité
'od kyi snang ba|4. Vision lumineuse = rayonnante
'od 'phro ba'i sa|terre rayonnante (arci?hmati bhumi)
pad+ma can|12. porteuse du lotus
pad+ma chen po ltar gas pa|crevasses tel le grand lotus (mahapadma)
pad+ma ltar gas pa|crevasses tel le lotus (padma)
pad+ma rigs|famille du lotus
'phags pa|supérieur, une personne / être noble
pham pa|défaite , parajika
phar phyin theg pa|véhicule des perfections
'phen pa'i las|action projetante
'pho ba|"transfert; transit=1350 respirations"
'pho chung|petit transit = 360 respirations
pho nya mo|héraut (dakinis, etc.)
phra rgyas|tendance, résidu latent, propension (litt, fin et s'étendant)
phrin las|hauts faits, grands actes, activité éveillée
'phro mthud|tendance (las kyi)
'phros don|thème associé, discussion connexe
phun sum tshogs pa|perfection, complétude
phung po|"agrégats, constituant; autres sens: aspect forme (chos phung --> bar cha 674)"
phung po'i bdud|démon des agrégats
phyag bzhes|pratique
phyag mtshan|attribut
phyag rgya|sceau
phyag rgya chen po|"grand sceau;  mahamudra"
