Tibétain,Sanskrit,Anglais,Sens racine Français,Autres termes rencontrés,Definition,Ordre alpha tib
"skye ‘gags med pa, 
skye ba med 
dang ‘gags pa 
med pa",,,"sans origine ni cessation 
absence de création ou de cessation, ne naissent ni ne cessent, ne viennent ni à naître ni à disparaître, sans naissance ni mort, sans début ni fin, incréé et incessant, ne viennent à l’existence ni ne cessent",,,
"skye gnas med 
pa, 
skye ba med 
dang dnas pa 
med",,,"ne naissent ni ne demeurent, sans naissance ni demeure 
être sans origine ni durée",,,
"skye med, 
skye ba med pa, ma skye",,,"l’absence de création, sans origine 
sans naissance, non produit, qui ne vient pas à l’existence, sans apparition",,,
skyel ma lta bu,,,qui accompagne,,,
bskyed rdzogs,,,"utpattikrama/sampannakrama, 
transformation/perfection 
les processus (ou phases) de génération (ou genèse) et de perfection",,,
"bskyed rdzogs 
zung ‘jug",,,"l’union des phases de transformation et de perfection 
transformation et perfection non deux, phases de génération et de perfection pratiquées ensemble",,,
"bskyed rim, 
bskyed pa’i rim pa",,,"utpattikrama, transformation 
phase de génération, processus de génération, étapes de production, phase de développement, processus de visualisation",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
KHA,,,,,,
kha sbyor,,,"le souffle d’union « l’un sur l’autre », bumchen d’union, kumbhaka en union 
face à face en union",,,
khad kyis drangs la,,,soudainement (regarder) droit devant soi,,,
khams gsum,,,"les trois types d’état (des demeures samsariques), les trois domaines de l’existence, les trois états d’existence 
les trois plans de l’existence",,,
khong yangs,,,"largesse d’esprit, avec une grande ouverture intérieure 
(personne) d’esprit vaste, (personne) très ouverte, large d’esprit",,,
khong lhod pa,,,être tout relaxé,,,
khyad chos,,,enseignement particulier,,,
khyab gdal,,,"déploiement à l’infini, expansivité, omniprésent ouverture considérable, tout englobant",,,
khyab bya,,,qui est embrassé et pénétré,,,
khyab byed,,,"infus, tout pénétrant",,,
khyug ge,,,en diffusant partout,,,
"khyer so gsum 
ldan",,,"(méditer) sur les trois modes (voir n153) les trois incorporations, les trois (points) à préserver",,,
khra khang,,,maison à orifices,,,
khrid,,,"accompagner, les instructions guidances, instructions 
explications",,,
khrid yig,,,"manuel de transmission 
manuel d’instructions (manuel donnant une explication de la pratique de méditation)",,,
khregs chod,,,"trekchö, solidité suspendue, suspension de la solidité, l’expérience dans laquelle la solidité de la saisie est suspendue, laisser la dureté se suspendre ou s’interrompre, dissoudre (ou la solution de) la solidité, la suspension de la dureté relâcher les tensions, trancher à travers la rigidité",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
mkha’,,,"espace, ciel, vastitude",,,
mkha’ ‘gro ma,,,"dâkinîs, dames célestes",,,
mkhas pa,,,"adresse, habile, érudit 
rompu en, dextre, docte",,,
mkhyen pa,,,"connaissance, savoir (hon.)",,,
‘khor ‘das,,,"cycle et au-delà, samsâra et nirvâna",,,
"‘khor ‘das ru 
shan, 
‘khor ‘das ru 
shan phye ba, 
‘khor ‘das ru 
shan ‘byed pa",,,"la différenciation du samsâra et du nirvâna, la conduite distinguant samsâra et nirvâna ; la pratique de différenciation du samsâra et du nirvâna 
la différenciation (ou distinction, séparation, division) du (ou entre le) samsâra et du (ou le) nirvâna, la pratique qui fait (se) séparer / fait la séparation entre / sépare... ; fait différencier / fait (faire) la différence entre / différencie… ; fait distinguer / fait (faire) la distinction entre / distingue… entre le samsâra et le nirvâna, séparer (ou distinguer, différencier, diviser) le samsâra du nirvâna",,,
‘khor ba,,,"samsâra, le cycle, existence cyclique",,,
‘khor yug,,,"yoga du jour et de la nuit, yoga tour du cadran (syn. de chu bo rgyun gyi rnal ‘byor) 
continuellement, jour et nuit durant",,,
‘khor lo,,,"cakra, 1. roue, cercle, cycle 
2. centres corporels",,,
‘khor lo bsgyur pa’i rgyal po,,,"chakravartin, cakravartî râja, monarque universel 
empereur à la roue",,,
"‘khor gsum, 
‘khor gsum 
dmigs med",,,"les trois mandalas (sont les mandalas de sujet, objet et intermédiaire) 
sans séparer sujet, objet et expérience, les trois indissociés et indissociables",,,
‘khrul rtog,,,"pensées illusionnées, l’illusion des pensées, pensées illusoires, pensées duelles erronées pensées qui s’illusionnent, la confusion des pensées, pensées duelles confuses",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
‘khrul rtog gi rba rlabs ‘tshub pa,,,"les vagues tumultueuses de pensées illusoires les vagues agitées de pensées qui s’illusionnent, les vagues impétueuses de la confusion des pensées duelles",,,
‘khrul snang,,,"apparences trompeuses, l’illusion des apparences, apparences illusoires 
perceptions confuses",,,
‘khrul pa,,,"bhrânti, illusion, confusion",,,
"‘khrul pa’i las 
rgyun mi chod pa",,,"ne pas interrompre le flux des activités confuses, ne pas faire cesser le flot des actions illusoires",,,
‘khrul ‘byams,,,"profusion ordinaire des illusions, abondance (ou foisonnement, affluence) habituelle de pensées erronées, illusions galopantes, illusions endémiques",,,
"‘khrul ‘byams 
tha mal du shor ba",,,tomber dans la profusion habituelle des illusions (ou de la confusion),,,
‘khrul med,,,"libre d’illusion, sans illusion, sans confusion",,,
"‘khrul gzhi, 
‘khrul pa’i gzhi",,,"le fond de l’illusion, la base de l’illusion, la base de la confusion",,,
‘khrul lam,,,"la voie de l’illusion, le chemin de la confusion",,,
,,,,,,
GA,,,,,,
gang du’ang ma grub,,,n’existe pas comme quoi que ce soit,,,
gang zag,,,"pudgala, individu, personnes",,,
gang zag gi bdag med,,,"pudgalanairâtmya, le non-soi de la personne",,,
gang zag snyan brgyud,,,la transmission orale de personne à personne (ou entre individus),,,
gur khyim,,,une tente,,,
gegs sel,,,"évacuation des obstructions, qui dissipe les obstacles, élimination des obstacles",,,
go ba,,,compréhension qui n’est qu’intellectuelle savoir mais seulement intellectuellement,,,
goms cha,,,l’entraînement même,,,
goms pa’i tshad,,,le critère d’entraînement,,,
,,,,,,
,,,,,,
,,,,,,
gol sgrib,,,"déviations et obscurcissements 
erreurs et obscurcissements, embardées et voiles, écarts et confusions, dérives et rajouts de confusion, erreur et voile",,,
gol sa,,,"déviation 
écueil, terrain de déviation, abîme (une déviation de l’état de contemplation due aux distractions)",,,
gyin ‘dar,,,"la présence naturelle 
être ‘naturel’, être nature",,,
grags stong,,,"sonorité vide, résonnance et vacuité inséparables",,,
grub brgyud,,,"siddhaparamparâ, lignée des accomplis",,,
grub thob,,,"siddha, un accompli, (pratiquant) réalisé",,,
grub mtha’,,,"siddhânta, les différentes perspectives de réalisation 
système philosophique, doctrines philosophiques, philosophie",,,
"grub med, 
ma grub pa",,,"n’est pas quelque chose ayant une existence substantielle 
incréé, pas réalizé, ne pas servir de/à",,,
grub bsal med pa,,,"n’est ni confirmé ni réfuté 
ni affirmé ni réfuté, sans établir ni dissiper",,,
grul bum,,,"kumbhânda, troll",,,
grol cha,,,côté libération,,,
"grol cha’i chos 
sku ngos bzung",,,reconnaître le dharmakâya du côté de la libération reconnaître le dharmakâya par son aspect de libération,,,
grol ba,,,"libération, liberté, relaxer",,,
grol ba gcig pu,,,"libération unique, unique mode de libération",,,
grol ba’i grong khyer,,,"la cité de la libération 
la citadelle (ou bastide) de la libération",,,
grol tshad,,,"la complète libération 
apogée de la libération",,,
grol gzhi,,,"la base de (ou pour) la libération 
le fond d’où l’on se libère",,,
"grol gzhi’i ye 
shes ngos ‘dzin",,,reconnaître l’expérience première qui est la base de la libération,,,
grol lam,,,voie de la libération (ou de l’auto-libération),,,
,,,,,,
,,,,,,
,,,,,,
"grol lugs, 
grol lugs bzhi, 
grol lugs gsum",,,"modes de libération ; 
les quatre modes de libération ; 
les trois modes de libération",,,
grol sa,,,"l’état de libération 
la terre de la liberté",,,
grol sa gcig pu,,,l’unique état de libération,,,
"grol sa gcig po 
yin par ngo shes",,,reconnaître comme étant l’unique état de libération,,,
glo bur,,,"adventice 
accidentel",,,
glo bur ma dag pa,,,impuretés adventices,,,
"dgag sgrub, 
dgag pa dang 
sgrub pa",,,"(les saisies duelles) d’induction et d’élimination, accepte ou rejette, appréhende ou rejette, rejeter et induire, arrêter et pratiquer 
arrêter ou activer, entraver ou produire, stopper ou induire",,,
dgag sgrub med pa,,,"sans être entravées ni developpées, sans arrêter ni pratiquer 
sans arrêter ni créer (de pensées)",,,
dge sdig,,,"vertueux et non-vertueux, actes positifs ou négatifs 
vertu et vice",,,
dgongs brgyud,,,"transmission par l’esprit de sagesse, lignée directe par l’expérience éveillée 
lignée de l’Esprit (éveillé), transmission directe",,,
dgongs gter,,,trésor (terma) de l’esprit,,,
dgongs pa,,,"1.la sagesse, l’esprit éveillé, l’esprit (de Samantabhadra), la cognition éveillée, 
l’expérience éveillée 
pensée éveillée 
2. intention",,,
dgos med,,,"(vivre dans) la satisfaction 
l’absence de besoin, contentement",,,
dgra bcom pa,,,"arhat, destructeur de l’ennemi 
soumetteur des ennemis, un saint",,,
bgegs,,,"les facteurs d’interruptions 
obstacles, empêchements",,,
,,,,,,
,,,,,,
,,,,,,
"‘gag bsdams, 
‘gag bsdam, 
‘gag tu bsdam(s) pa",,,"identifier la portée de, discerner les implications distinguer au sein d’un contexte, identifier (ou percevoir, constater, comprendre, pénétrer, déceler, déterminer, apprécier) les conséquences (ou effets, la portée, aboutissements, conclusions, corollaires)",,,
‘gyu ‘phro’i thog nas,,,"dans l’instantanéité des remous et des projections mentales 
dans l’immédiateté (ou l’imminence) des mouvements mentaux et des émissions des pensées",,,
"‘gyu ba, 
‘gyus pa",,,"remous, mouvements, agitations mentales, movement de pensées",,,
‘grel pa,,,commentaires (textes),,,
‘gro drug,,,"les six migrations, (les êtres) vivant dans les six conditions, les six mondes 
les six sortes de vivants",,,
‘gro ‘ong med pa,,,"sans allée ni venue, ne va ni ne vient",,,
‘gro sa med,,,"(les pensées) ne vont nulle part, n’ont nulle part où aller",,,
rgya grol rig pa,,,"l’intelligence en soi libre de ses liens, 
l’intelligence sans entrave",,,
rgya ma chad,,,sans restriction,,,
rgya mtsho gser gyi nyi ma,,,‘l’Océan de (ou du) soleil d’or’ (syn. rgyang zhags chu’i sgron ma),,,
rgya yan,,,"sans restriction, librement 
sans retenue, relâché",,,
rgya yan du ma shor bar,,,ne pas laisser l’esprit doucement divaguer,,,
rgod pa,,,agitation,,,
"rgyang zhags 
chu’i sgron ma",,,"la lampe d’eau ou luminosité aquatique lointaine, la luminosité aquatique qui voit loin, la luminosité aquatique vue de loin, la luminosité d’eau (de la vision) lointaine",,,
rgyan,,,"ornement, parure 
(ex. pensées et apparences sont les ornements de l’esprit)",,,
,,,,,,
,,,,,,
,,,,,,
rgyan gyi ‘khor lor shar,,,"émerger comme ornement perpétuel 
apparaître comme parure continuelle",,,
rgyab yig,,,"écrits qui étayent (un enseignement, une pratique), texte qui sert d’appui, commentaire texte complémentaire",,,
rgyal po,,,roi,,,
"rgyal po’i gtan 
srid zin",,,gagner le royaume souverain (du dharmakâya) atteindre le majestueux état de présence authentique (dharmakâya),,,
rgyal ba,,,"Jina, le victorieux, le vainqueur 
(syn. Bouddha)",,,
rgyal ba dgongs brgyud,,,"la transmission d’esprit à esprit des victorieux, la lignée directe par l’expérience éveillée des bouddhas, la transmission par l’esprit de sagesse des vainqueurs",,,
rgyal ba rigs lnga,,,"les bouddhas des cinq familles 
les cinq dhyâni-bouddhas",,,
rgyal sras,,,"jinaputra, fils des vainqueurs, enfants des vainqueurs 
fils des victorieux, bodhisattvas",,,
"rgyal sras kyi 
spyod pa",,,"la conduite des fils des victorieux 
la pratique des bodhisattvas",,,
rgyas gdab pa,,,"l’apposition du sceau, le marquage (des apparences)",,,
rgyu,,,"hetu, cause, cause primaire",,,
rgyu ‘bras,,,"les causes et conséquences, causalité",,,
rgyu ‘bras kyi las,,,"les causes et conséquences de nos actes actions karmiques et leurs conséquences, causalité des actes (ou de nos actes)",,,
"rgyu’i ting nge 
‘dzin",,,"hetu samâdhi, samâdhi causal, contemplation causale",,,
rgyu’i theg pa,,,"hetuyâna, véhicule causal",,,
rgyud,,,"1. tantra 
2. son continuum, continuité existentielle, continuum mental 
3. continuité",,,
rgyud bcu bdun,,,les 17 Tantras (du Dzogchen Upadesha),,,
,,,,,,
,,,,,,
,,,,,,
rgyud sde,,,la section des tantras (les 18 Tantras du Mahâyoga),,,
rgyud smin,,,"maturation de notre être 
faire mûrir la continuité existentielle, faire mûrir son continuum mental",,,
"sgo gsum gyi 
sngon ‘gro",,,les préparations des trois portes,,,
"sgom pa, 
bsgom pa",,,"bhâvanâ, la familiarisation, se vit, la pratique entraînement, méditation, cultiver",,,
sgom pa nyams su len pa tshul,,,méthode de pratique de la méditation,,,
"sgom pa’i shes 
rab, 
sgom byung gi 
shes rab",,,"compréhension issue de la méditation (sur les enseignements) 
compréhension née de l’expérience (ou familiarisation, médiatation)",,,
sgom lam,,,"bhâvanâ mârga, voie de l’habitude, voie de la méditation 
voie de la pratique, voie de l’expérience",,,
sgyu ma,,,"mâyâ, illusoire, illusion magique, mirage",,,
"sgyu ma’i dpe 
brgyad",,,les huit exemples d’illusion (énumération n334),,,
"sgyu lus, 
sgyu ma’i lus",,,"mâyâdeha, le corps d’illusion(s) 
corps illusoire",,,
sgyur ba,,,transformer,,,
sgyur lam,,,voie de la transformation,,,
sgra can,,,éclipse (signe de claire lumière),,,
"sgra tshig tha 
snyad kun las 
‘das pa",,,au-delà de toute expression et description conventionnelle,,,
sgra ‘od zer,,,"sonorités, lumières et rayons",,,
"sgrib pa, 
sgrib pa gnyis",,,"voile, obscurcissement ; 
les deux voiles, le double voile",,,
sgrims lhod med pa(r),,,sans tension ni relâchement,,,
sgrub brgyud,,,"lignée des accomplis 
lignée de l’accomplissement, lignées de la pratique, lignée des siddhas",,,
sgrub thabs,,,"sâdhana, méthode de pratique, méthode d’accomplissement 
processus de réalisation, moyen d’éveil",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
sgrub sde,,,la section des Sâdhanas (du Mahâyoga),,,
"sgrub pa, 
bsgrub pa",,,"pratiquer, accomplir, créer, atteindre ; établir, affirmer ; 
s’efforcer pour atteindre (l’éveil)",,,
sgrub mi dgos pa,,,"pas besoin de créer, nul besoin d’accomplir (ou d’atteindre)",,,
"sgrub pa bka’ 
brgyad",,,"les pratiques des huit logos, la pratique des sâdhanas des Huit herukas",,,
sgrub pa po,,,"sâdhaka, pratiquant d’un sâdhana",,,
sgro skur,,,"ajouts et dénis, affirmer ou nier 
jugements de valeur, exagération de l’existence ou de la non existence, éxagération dans l’affirmation ou la négation de l’existence, affirmation de l’existence de ce qui n’est pas et négation de l’existence de ce qui est",,,
sgro skur ‘das pa,,,"au-delà des ajouts et dénis 
au-delà des exagérations de l’existence ou de la non existence, au-delà d’affirmer ou de nier",,,
sgro ‘dogs,,,"le surimposé, superfétations 
surimposition, exagérations, ‘coller des plumes’, ‘en rajouter’, doutes",,,
sgro ‘dogs gcod pa,,,"éliminer les conceptions illusoires (semblables aux plumes du pigeon), éliminer les 
superfétations, éliminer les projections 
conceptuelles surimposées (à la réalité en soi), ‘couper les plumes’, supprimer le surimposé, que les superfétations soient éliminées",,,
"sgron ma, 
sgron ma drug, 
sgron ma rnam bzhi",,,"la lampe, la luminosité ; 
les six lampes, les six luminosités ; 
les quatre luminosités (voir n268), les quatre lampes",,,
sgrol ba,,,"1.délivrer, libérer 
2.rites de délivrance ou de libération (impliquant de tuer des malfaisants)",,,
brgyud pa,,,"paramparâ, lignée de transmission, lignée",,,
,,,,,,
,,,,,,
,,,,,,
brgyud pa’i bla ma,,,"maîtres de la lignée, Lamas de la lignée de transmission",,,
bsgom pa chen po,,,"la grande méditation 
méditation suprême, état de totale méditation",,,
"bsgom med, 
ma bsgoms",,,"non méditation, sans méditer, n’a pas besoin d’être cultivé (par la méditation)",,,
bsgyur,,,"1.s’habituer 
2.se détériorer",,,
,,,,,,
NGA,,,,,,
ngang,,,"état, sphère 
(au) sein (de), disposition, condition, domaine, contexte de, (constituer) la portée de",,,
ngang bskyangs,,,"cultiver l’état 
continuer en l’état, préserver l’état (de)",,,
ngang gis,,,"en lui-même 
naturellement, avec évidence, auto-...",,,
ngang chen po,,,"le grand état 
état total, immense état",,,
"ngang dwangs, 
ngang dvangs",,,"état de lucidité (inhérente) 
état de transparence (innée), état lumineux",,,
ngang nas shar,,,apparaît au sein de,,,
"ngang bzhag, 
ngang la bzhag pa",,,rester en l’état,,,
"ngang bzhag chu bo’i rgyun gyi 
sgom pa",,,"rester en l’état de méditation comme le ‘courant d’une rivière’ 
rester en l’état de méditation comme le flux du torrent",,,
ngan sngags,,,mantras méchants,,,
ngan song,,,"durgati, mauvaises destinées 
renaissances défavorables, mauvaises existences, mauvaises migrations",,,
"nges don, 
nges pa’i don",,,"nitârtha, sens ultime, sens ultime de 
l’enseignement 
vérité absolue ou ultime, sens certain, sens définitif",,,
,,,,,,
,,,,,,
,,,,,,
"nges med, 
nges pa med pa, ma nges",,,indéterminé,,,
ngo gcer,,,"l’en-soi nu 
essence nue",,,
ngo gcer phog tu sprad pa,,,"introduction directe qui fait reconnaître l’en-soi nu, présentation, reconnaître (ou se reconnaître), rencontrer (ou se rencontrer)",,,
"ngo sprad pa, 
ngo sprod, 
ngo sprod pa, 
ngo ‘phrad pa",,,"reconnaître, l’introduction directe qui fait reconnaître ; 
les introductions directes (qui font reconnaître), reconnaître l’état, reconnaître sa propre nature, présentation, reconnaître, se reconnaître, rencontrer, se rencontrer",,,
ngo sprod nyer gcig,,,les vingt et une introductions directes,,,
ngo bo,,,"svabhâva, état fondamental, existence 
caractérisée par, être (quelque chose) en soi, l’essence, en-soi, en soi-même",,,
ngo bo ka dag,,,"l’en soi alpha pur 
essence primordialement pure",,,
"ngo bo sku, 
ngo bo nyid kyi sku",,,"le corps essentiel 
le corps d’essence même",,,
ngo bo gcig,,,"unique essence 
unicité en-soi, singularité d’en-soi, une même essence",,,
ngo bo nyid kyis,,,en vertu de l’essence en elle-même,,,
"ngo bo stong pa, ngo bos stong",,,"essence vide, vide d’essence 
vide par essence",,,
"ngo bo rang 
bzhin thugs rje gsum",,,"essence, nature et qualités – les trois (kâyas inséparables), (essence vide, nature claire et lumineuse, qualités illimitées)",,,
ngo rang thog tu sprad pa,,,Reconnaissant sa propre nature (1er vers du testament de Garab Dorjé Tshig gsum gnad rdeg) l’On est introduit directement à sa propre nature,,,
ngo shes pa,,,reconnaître,,,
ngo shes tsam,,,un rappel de la reconnaissance,,,
,,,,,,
,,,,,,
,,,,,,
"ngos ‘dzin pa, 
ngos bzung",,,"1. (le) reconnaissant, reconnaître (quelque chose) identifier 
2.saisir comme réel",,,
dngos grub,,,"siddhi, accomplissement(s), réalisation(s) (spirituelles)",,,
dngos po,,,"quelque chose existant substanciellement, exister (ex. l’esprit), la réalité 
entité, chose concrète, substance",,,
dngos po gsum,,,"les trois catégories temporelles (que sont le passé, le présent et le futur)",,,
"dngos med, 
dngos po med pa",,,"une chose n’existant pas substanciellement, ne pas exister (ex. l’esprit), insubstanciel, sans substance",,,
dngos gzhi,,,"pratique principale, corps de la pratique corps principal de la pratique, pratique 
proprement dite, sujet principal, section principale",,,
"mngon dga’, 
mngon par dga’ ba",,,"‘La Vraie Joie’, ‘Joie Authentique’, le domaine ‘Joie Authentique’ 
(la terre pure) ‘Joie Manifeste’",,,
"mngon ‘gyur, 
mngon du ‘gyur ba",,,"devenir manifeste, s’actualiser 
mettre en évidence, effectivement vu, mettre en exergue, révéler, évident, en vrai, manifestement, véritablement, évidemment",,,
"mngon par 
rdzogs par 
‘tshang rgya ba",,,la réalisation du véritable et parfait état de bouddha,,,
mngon zhen,,,"les attachements 
s’attacher à une réalité, prendre les choses pour réelles",,,
"mngon shes, 
mgon par shes pa",,,"abhijñâ, les connaissances véritables, les connaissances authentiques, vraies connaissances",,,
mngon shes drug,,,les six connaissances véritables (ou authentiques) les six pouvoirs clairvoyants,,,
mngon sum,,,"pratyaksha, réalité immédiate, l’immédiateté manifeste, évidence sensorielle, évident pour les sens, perception",,,
,,,,,,
,,,,,,
,,,,,,
mngon sum rjen pa’i ye shes,,,"prime expérience nuement immédiate (ou nue et immédiate), expérience première dans la nudité de son immédiateté, prime intelligence évidente 
dans sa nudité, connaissance primordiale nûement manifeste",,,
mngon sum rang thog tu dbab pa,,,l’arrivée en soi de l’immédiateté,,,
rnga yab,,,éventail fait d’une queue de yak,,,
lnga ldan ‘od tu snang ba,,,les luminosités quinticolores apparaissent,,,
lnga tshan lnga,,,les cinq séries de cinq,,,
snga ‘gyur,,,"premières traductions, traductions de la première époque 
traductions initiales, traductions pionnières",,,
snga ‘gyur lnga,,,les cinq premières traductions (du Dzogchen),,,
snga dar,,,la première diffusion du Dharma au Tibet,,,
sngags,,,"mantra, parole efficiente, charme",,,
sngags rnying ma,,,"les tantras Anciens, tradition des mantras Anciens les tantras de l’école Ancienne",,,
sngags nang pa,,,"les tantras Internes, la tradition des mantras Internes 
les tantras de l’Intérieur",,,
sngags pa,,,"mantrika, tantrika, pratiquant mantrique pratiquant tantrique, pratiquant des mantras, ngakpa",,,
sngags lugs,,,"mantrayâna, la tradition des mantras 
la tradition des tantras, système des tantras",,,
sngags gsar ma,,,"les tantras Nouveaux, la tradition des mantras Nouveaux 
les tantras Récents (ou Modernes)",,,
sngar ‘dris kyi ye shes,,,"une prime expérience déjà rencontrée, une cognition primordiale rencontrée auparavant",,,
sngon ‘gro,,,"préliminaires 
pratique préliminaire, section préliminaire",,,
,,,,,,
CA,,,,,,
ci mdzad khyed shes,,,"« tout ce qui est à accomplir est votre 
intelligence », « à votre volonté »",,,
,,,,,,
,,,,,,
,,,,,,
"cig car, 
cig char",,,"instantané, immédiat",,,
cig car ‘jug pa,,,entrer instantanément,,,
cig car ba,,,"les instantanés immédiats (un des trois types de pratiquants) 
non gradualistes",,,
"cir snang rang 
yin",,,son état d’existence en soi se manifestant partout,,,
cir yang ma grub,,,quelque chose n’existant pas en soi de quelque façon que ce soit,,,
"ce re blta ba, 
cer re bltas, 
cer mthong",,,"contempler comme en un regard grand ouvert, avec les yeux béants équarquillés, contempler en un regard béant, dépouillé et immobile",,,
cer re gtad,,,observer fixement,,,
"cog bzhag, 
cog gzhag, 
cog bzhag bzhi",,,"(état de) repos imperturbable, laisser être suspension impassible (ou impavide) ; 
les quatre repos imperturbables, les quatre (modes de) laisser être 
les quatre impavidités",,,
"gcig, 
gcig pu, 
gcig po",,,"eka, un, unique, unicité, singularité, état unique, unité, unicité, unique",,,
gcig grol,,,"libération en un état unique, libre en un",,,
gcig thag bcad pa,,,"découvrir un état unique, être certain d’une chose unique (ou d’un état unique), établir la certitude quant à l’état unique",,,
"gcig dang tha 
dad bral ba",,,"n’est ni un ni multiple, est au-delà d’être identique ou séparé",,,
"gcig shes kun 
grol",,,"connaissance unique qui libère tout 
connaître une chose qui tout libère, unique savoir tout libérant, une connaissance libérant tout",,,
gcun,,,"entraîner 
s’entraîner, s’exercer",,,
gcer grol,,,"libération par l’attention nue 
libération nue, nue (vision) libératrice",,,
gcer mthong,,,la nue vision,,,
bca’ ba,,,continuer,,,
bcud len,,,"l’absorption de la sève 
extraction de la quintessence",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
bcom ldan ‘das,,,"Bhagavân, le Bienheureux 
« le subjugueur des démons, détenteur des excellentes qualités, transcendant les extrêmes du samsâra et du nirvâna »",,,
