Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
kun rdzob ,"saṃvṛti, sāṃketika, saṃvṛta","conventionality (SL BP)
superficial (SL MW)","(Tout) l’illusoir, 
le relatif, 
le relationnel, 
le mensonger.","relatif, conventionnel, “qui masque tout”, fausse apparence, déceptif

Vérité relative, relationnelle, d’enveloppement, conventionnelle qui recouvre ou  masque, l’apparence, superficiel,
","(TDC) : kun rdzob, yang dag pa'i gnas lugs sgrib par byed pa'am 'gebs pa lta bur byed pa'i dngos po rdzun pa rnams,...

les réalités mensongères qui comme voilent ou recouvrent le mode d'être véritable (GCLAvr93)",11
kun gzhi ,ālaya,,"Le fond universel
Le fond de tout","Fondement, substrat,  universel, de tout. 
Base de tout, fond de tout 
Fondement du saṃsāra comme du nirvāṇa
","(RY) kun gzhi : 
alaya - *. Literally, the 'foundation of all things.' The basis of mind and both pure and impure phenomena. This word has different meanings in different contexts and should be understood accordingly. Sometimes it is synonymous with buddha nature or dharmakaya, the recognition of which is the basis for all pure phenomena; other times, as in the case of the 'ignorant *,' it refers to a neutral state of dualistic mind that has not been embraced by innate wakefulness and thus is the basis for samsaric experience. 
alaya 1) *, basis of all, ground-of-all; gathering place, storehouse, ground of all (ordinary/ samsaric) experience; basis of everything, basic nature. 2) abbr. of {kun gzhi'i rnam par shes pa}, {kun gzhi rnam par shes pa}",12
kun gzhi rnam shes  = kun gzhi'i rnam par shes pa ,ālayavijñāna,"ālaya consciousness (SL BP)

fundamental consciousness (SL MW)","La conscience fondamentale
La conscience fond universel","conscience : base de tout, fondamentale, entrepôt, de tréfond, réservoir, réceptacle (de toutes les imprégnations karmiques), de base (universelle), substratum, support de la conscience ordinaire","(TDC) kun gzhi'i rnam shes : 
rnam shes tshogsbrgyad kyi nang gses, ma bsgribs lung ma bstan pa'i gtso bo'irnam shes gang zhig bag chags kyi bgo gzhir gyur pa rnam smindang sa bon thams cad kyi rten du gyur cing don gyi ngo bo rigpa,...

(RY) kun gzhi rnam shes :
Abbr. of {kun gzhi'i rnam par shes pa}. *; the store consciousness, alaya vijnana.

(RY) kun gzhi'i rnam par shes pa :
All-ground consciousness. Usually {kun gzhi'i rnam par shes pa} store house consciousness - alaya vijnana

Selon le système d'Asaṅga, c'est une des huit consciences, le réceptacle des graines ou prédispositions incluant celles que produisent simultanément le sujet connaissant et l'objet connu. elle est non polluée, neutre et capable d'être “parfumée” par des potentialités vertueuses, non-vertueuses ou neutres (J. Hopkins, Meditation on Emptiness p. 383) (GCLAvr93) 
",13
"kun gzhi ye shes 
= kun gzhi'i ye shes ",ālayajñāna,,"L’expérience primordiale fondamentale,
L’expérience première fond universel","L’intelligence immédiate, la sagesse base de tout","(RY) kun gzhi ye shes :
primordial, panoramic awareness",14
"kun bzang 
= kun tu bzang po ",Samantabhadra,ever perfect (SL MW),"le Tout Bon,
Toujours bon",,"(RY) kun bzang :
abbr. of {kun tu bzang po}. 
1) all-positive, all-good, ever-excellent, ever-perfect, always kind. 
2) the primordial buddha Samantabhadra. epith. of Buddha. 3) the bodhisattva Samantabhadra. 
4) the {nam mkha'i mdzod kyi sngags}. 
5) Gamelina arborea.
",15
kun rig ,,,"Tout connaissant
",,"(RY) kun rig :
1) sarvavid. [samvedana]. knowledge. perceiving / knowing all; all-aware; awareness of everything. 
2) abbr. of {kun rig rnam par snang mdzad}, Sarvavid-Vairochana; Adi-buddha belonging to the Sarva Durgati Parishodhana Tantra; class of Yoga Tantra; popular in Sakya tradition; rites performed for the deceased.",16
kun slong ,samutthana ,,"Intention, motivation","intention, motivation, attention d’esprit","(RY) kun slong :
 Intention, *, attitude, intent. the right attitude",17
"kong sprul mdzod lnga 
=  mdzod lnga",,,Les Cinq Trésors de Jamgön Kontrül Lodrö Tayé,les 5 Trésors de JK le grand,→ B p30',18
klong ,abhyanta(ra),,"Immensité, vastitude, milieu","espace (insondable), vortex, abîme, étendue, sphère, espace primordial, abysse, espace abyssal, immensité","(TDC) klong,
1) dbus dang dkyil,...dgongs pa'i klong,...nam mkha'iklong,...rba klong,...
2) khog pa,...shes bya'i klong,...chos kyi klong,...sems kyi klong yangs pa,...klong du gyur pa,...
 (RY) klong :
1) space, expanse, basis space, in the space of, vast expanse; {gi klong na} within/ amidst a vast expanse of. 
2) scope, bounds, extent, reach, span, realm. 
3) sphere, orb, womb, ball.
 4) vast, immense. 
5) middle, center. 
6) mass, bulk. 
7) wave. 
8) to stir up. 
9) Abbr. of {klong sde}",19
"dka’ thub 
= dka’ spyod ",tapas,,"Ascése, austérité, épreuve, endurance.","austérité, épreuves, austère, pénurie, pratique difficile, rigoureuse, difficulités","(RY) dka’ thub :
Ascetic practice / life. practicing asceticism. 
1) ability to undergo hardships, fortitude, tolerance of hardship / suffering, asceticism, austerity, ascetic practice, penance. 
2) to bear what is difficult. 
3) an ascetic, hermit. 
4) the first month of the Tibetan calendar",20
dkar po ,"śukla, śveta, haṃsa",,Blanc,"blanc, positif, clair, vertueux",,21
dkon mchog gsum ,triratna,,Les Trois Joyaux,"les trois rares et sublimes, les trois (précieux) joyaux, les trois précieux, les trois rares et sublimes, suprêmes, ",→ ngal gso I p 274 n 1,22
dkyil ,maṇḍa,,"Centre, milieu, ","Milieu, centre,
","(RY) 1) center. 2) midst. 3) core. 4) interior. 5) middle. 6) in the midst, middle of. 7) among. 8) between. 9) inside. 10) intermediate. 11) inner. 12) ) abbr. of {dkyil 'khor}. 13) bottom. 14) base. 15) nature. 16) essence. 17) surface [flat]. 18) touch stone. 19) bottom. 20) mandala-center. 21) the principal deity or attribute. 22) circle. 23) circumference. 24) figure. 25) quadrangle. 26) square. 27) diagram model. 28) a circle of objects. 29) area of a circle. 30) disk; touchstone.
",23
dkyil 'khor ,maṇḍala,,"Mandala,
Structure,
Centre et périphérie, ","La structure constituée par un milieu et ce qui est autour, le centre et la périphérie, le centre et l’entourage, le centre et la circonférence, un cosmogramme de déités ou d’attributs éveillés, ","(RY) 1) *. 'center and surrounding.'. 2) circle. 3) disc [as in sun. moon.]. 4) sphere. 5) entirety. 6) fullness. 7) whole something. 8) holy place. 9) celestial abode. See also {dal}. 10) circumference. 11) globe. 12) region. 13) sphere; circle, circumference, disk. 1) *. 2) formation of deities or enlightened attributes. 3) sacred diagram; 1) *. 2) disc [as in sun. moon.]. Mandala. 1) 'Center and surrounding.' Usually a deity along with its surrounding environment. A * is a symbolic, graphic representation of a tantric deity's realm of existence. 2) A * offering is an offering visualized as the entire universe, as well as the arrangement of offerings in tantric ritual. * table; the square table, where all the offering are arranged. It is also called offering seat (mchod khri), offering table (mchod stegs) and shrine (mchod bshams - mchod gshom)

• une structure constituée d'un principe central, la divinité de sagesse immédiate, et de son environnement dans un palais représentant l’expérience éveillée ; on l'appelle aussi “terre pure”.

• “essence de sagesse” (ye shes snying po) peut être mis en relation avec le sens du mot skt maṇḍala : 
maṇḍa centre = sāra essence
la = to take hold of, and therefore to capture the essence
• déf →GL p 136, →EL p 136, →MCV p …, →LYN p 219 n 55, LGS p 125, →NA p 291, →OTT p 38 n42, →HT p 59, →WB p 209 n126, →FG p 162, →TS II p 54, descr. →LYN I p 179 n134",24
bka' ,"vacana, ājñā, pravacana, subhāṣita (su = noble, beau, heureux, meilleur, excellent, bhāṣita = ce qui a été enseigné)",,"Parole (honorifique)
Parole du Buddha","Parole du Bouddha, enseignements du Bouddha, 
Préceptes transmis, maximes des Bouddhas
permission
parole (h skad cha), mot, précepte, commande","(TDC) bka' :
1) gsung ste skad cha'i zhe sa,...rim pa gong ma'ibka',...ji ltar bka' bstsal ba ltar,...bka' bzhin sgrubpa,...rgyal po'i bka',...bka' bzhin nyan pa,...rgyal ba'ibka',...ci gsungs bka' sgrub,...bka' gnang ba,...bka' babpa,...bka' las 'gongs pa,...
2) ming rkyang 'ga' zhig gi thog mar sbyar tshe zhe sa'am che brjod du 'gro ba,...bka' chos,...bka 'bris,...bka' mol,...bka' slob,...
3) gna' rabs bod kyi rigs rus shig 
4) bka' dang bstan bcos gnyis su phye ba'i bka' ste,brjod bya don ldan gyi chos dang 'brel zhing, byed las khams gsum gyi nyon mongs spong ba, 'bras bu zhi ba myang 'das kyi phan yon ston pa, rang gi bdag rkyen sangs rgyas la brten nas byung ba'i gsung rab,...ming gi rnam grangs la bka' lung dang, nges bstan, rjes gnang, nyer bstan, nyer blangs, bstan pa bcas so,

(RY) bka' :
Skt. vacana. 1) precept, word, command, speech, order, utterance, pronouncement, edict, spiritual command, permission; directives, commandment, law, proclamation, proclaimed order. 2) instruction, teaching, advice; precepts. 3) the Buddha's Words, Teachings, the Canon, the canonical scriptures, the Buddhist scriptures. Syn {bka' 'gyur}; abbr. of {bka' 'gyur sangs rgyas kyi bka'}. 4) Kagyü; abbr. of {bka' brgyud}. 5) Kahma, abbr. of {bka' ma}, the Oral Tradition, transmitted precepts. Buddha's word [thd]. the words of the Buddha

Ce qui est parfaitement muni des trois sceaux, montre excellemment les trois entraînements, est vertueux en son début, son milieu et sa fin, est connu par les sages comme la parole de l'éveillé (GCLAvr93)",25
bka' 'gyur ,,,"Le Kangyour
La traduction des paroles du Bouddha.
",,Traduction tibétaine en 108 ou 104 volumes des tripiṭaka et des quatre tantra (GCLAvr93),26
"bkod pa 
= rnam par bkod pa ","vyūha, racana",,"Placer, disposer, arranger.
Disposition, arrangement.","Placer, arranger, arrangement, disposer, établir, disposition, installation, aménagement, composition, préparer, accommoder, agencement, ameublement, accommodement,
bouquet, étal(age), exposition, ","(RY) bkod pa :
Structured; arranged; distinct features. gser gyi man dal la g.yu byir bkod pa - offered a golden mandala heaped with corals and turquoise. landscapes. to set forth [in writing]. pf. of {'god pa} , 
1) to arrange, array, be arranged, display, lay out, manifest, place, set, set out, spread, compile, compose, build, create, establish, plan, propose, put together, state, structure, write, write down. 
2) arrangement, array, attainments, composition, creation, decoration, design, display, expression, form, lay-out, manifestation, order, placement, plan, instruction, scene, scenery, set, sights, spread, state, structure. lam la bkod pa - set onto the path",27
bkra ba ,,,"Brillant, scintillant","chatoyer, briller, rayonner, merveilleux",,28
bkra shis ,"svāstika, śubhā",,Propice,"propice, l’heureuse fortune, heureux, auspice, bon augure","(RY) bkra shis :
 {yul la bkra shis pa} auspiciousness now prevails in the whole country. 1) auspiciousness, good luck, good fortune, goodness, prosperity, happiness. 2) auspicious, favorable, fortunate, successful, felicitous, lucky. 3) verse of auspiciousness; benediction, blessing. 4) a personal name.
",29
rkyen ,pratyaya,condition (SL MW),"Facteurs, conditions, circonstances.","Condition(s) et circonstance(s), cause secondaire, codéterminantes, conditions, circonstance, circonstanciel","(RY) rkyen :
Circumstance, condition [thd]. Skt. *; 1) condition, circumstance, [a co-operating / contributing] cause. 2) adversity, calamity, misfortune, mishap, accident, bad circumstances / luck, difficulties. Syn {rkyen ngan}. 3) because. 4) object. see {yul rkyen}. 5) situation, opportunity. 6) favorable, circumstance, help. 7) occurrence, incident, event. 8) effect, result. 8) affixation (in grammar). occasion, by, on account of, event, case, obstacle, hindrance, a happy, favorable circumstance, furtherance, factor, contributory cause, circumstantial influence. (secondary) condition/ conditioning factor; secondary conditions (accompanying root cause); secondary cause, conditioning; circumstantial/ created by causes; among the 16 aspects of the four truths: 
Def. by Jamgön Kongtrül: {sngar ma thob pa'i lus gzhan dang gzhan thob pa dang thob zin pa'i lus gzhan dang gzhan du 'da' ba'i byed rgyu yin pa'i phyir rkyen gyi mtshan nyid can}. + dang 'phrad tshe - as soon as bad times come. circumstance, opportunity",30
skabs ,,,"Occasion, opportunité, moment ou,","Occasion, chance, opportunité, 
état, situation
domaine, sphère
temps
chapître, section partie
mode, méthode, façon","(RY) skabs :
Context, occasion [thd]. 1) time, moment; when, period, interval, interlopes of time, during, at the time of, then. 2) occasion, context, opportunity, situation, state, case, circumstance, chance, in the context of. 3) mode, manner, method, way. 4) chapter, section. 5) place in a sequence, point. 6) {skabs su} occasionally",31
sku,kāya,dimension of awakening (SL MW),Corps,,,32
sku gsum ,trikāya,,"Les trois corps, les trois dimensions",les trois corps,"(RY) sku gsum : 
Three Bodies [thd]. *. {chos sku}. dharmakaya, {longs spyod rdzogs pa'i sku}. or sambhogakaya, and {sprul pa'i sku}. nirmanakaya. 
Trikaya, the three bodies of the buddha. Three kayas. Dharmakaya, sambhogakaya and nirmanakaya. The * as ground are 'essence, nature, and capacity'; as path they are 'bliss, clarity and non thought,' and as fruition they are the '* of buddhahood.' The * of buddhahood are the dharmakaya, which is free from elaborate constructs and endowed with the 'twenty-one sets of enlightened qualities;' the sambhogakaya, which is of the nature of light and endowed with the perfect major and minor marks perceptible only to bodhisattvas; and the nirmanakaya, which manifests in forms perceptible to both pure and impure beings.
",33
"skyabs 'gro 
= skyabs su ‘gro ba ",śaraṇagamana,,"Entrer en refuge,
Aller en refuge,
","prendre refuge, aller pour refuge, chercher refuge","NB : Nous éviterons l’expression « prendre refuge » qui bien que couramment utilisée en français ne correspond pas à une traduction fidèle du tibétain. L’entrée en refuge n’est pas « une prise » mais plutôt « une déprise » accomplie dans la confiance, d’où la maladresse de l’expression « prendre refuge ».

• adresser une prière fervente et avec confiance aux Lamas et aux trois Joyaux pour qu'ils protégent temporairement et ultimement des peurs et des souffrances (GCLAvr93)
• déf DT p 183",34
skye ‘gags,nirudha,,"Naissance et mort,
début et fin,","Naissance et mort, origine et fin, début et fin, origination et cessation, existence",,35
skye 'gags med pa ,,,"Sans naissance ni mort, sans début ni fin.","Qui n'est pas produit et ne cesse pas, sans naissance ni mort, sans venue à l'existence ni disparition, sans création ni annihilation, incréé, (non-) production, qui ne naît, 
et/ou/ni ne cesse, sans origination ou cessation,  sans construction ou destruction.
",,36
skye mched ,āyatana,"sense sphere (SL BP)

experiential medium (SL MW)","Les domaines,
Domaines sensoriels,
Les domaines de naissance et de développement (des l’expériences sensorielles)","les sens et leurs domaines, les sens et les champs, bases, facteurs, organes, portes sensoriels, “là où la conscience dont il s’agit naît et s’étend”, champs d’activité, systèmes, sources de perception, sphères psycho-sensorielles, sources sensorielles, domaines (d’extension)(de la conscience en mode distinctif), des principes conscients, bases de la connaissance, portes sensorielles, champ d’application des sens","(RY) skye mched :
Sense bases, ayatana. The five senses and their five objects as well as the mental faculty and mental objects. 1) [ayatana] ""medium for a sense perception to arise,"" the sources, bases, base of cognition, faculty, sense fields / factors / spheres, sense mediums, sour of perception constituent[s) of experience; arising expansion [as in {mu bzhi}. entrances. abbr. of {skye mched bcu gnyis}. 2) perception, state of mind. 3) source. 4) six objects and the six sense powers or sense bases; {nyer spyod rnam par shes pa skye ba'i sgo las yul gzhan la mched par byed pa'i don gyis na skye mched ces bya'o} sense door, sense-factors, sense-field, source, experiential medium. Sources of perception, the six objects and the six sense powers or sense bases; constituent[s] of experience, arising expansion [as in {mu bzhi}.]. source [thd]. 1) ayatana; sense bases, sense-field, source, the sources of perception; The twelve sense factors are the five senses or the organs of eye, ear, nose, tongue, body and the mental faculty as well as their corresponding objects which are visual form, sound, smell, taste, texture, and the mental object. 2) perception-sphere/s. A variety of states of meditative absorption, possibly lasting many aeons within the four formless realms. See also {skye mched mu bzi} 'fourfold spheres of perception.' See under {gzugs med khams} 'Formless Realms.' 3) base of perception. [experiential] medium. ayatana; source; Sources of perception, the six objects and the six sense powers or sense bases; sensory field; sense-field→ B p 3, DT p 186
",37
skye gnas med pa ,,,Sans naissance ni demeure.,"sans source, origine
ni demeure, localisation
ou durée",,38
skye ba ,jāti,"to arise, to come into being (SL BP)","Naître
Naissance, venir à l’existence","(processus de) naissance, production, origination, création, début, génération, émergence, apparition
naître, produire, créer, générer, donner le jour à, engendre, venir à l’existence.",,39
skye ba'i sprul sku ,janma nirmāṇakāya,,Corps d’émanation de naissance.,"corps d'émanation par la naissance, de la naissance",,40
"skye med 
 → ma skyes ","anutpāda, aja",,"Sans naissance, ","non né,ce qui n’est pas né, sans production, non produit, absence de production, qui n’a pas de naissance, sans origine, le sans naissance, non naissance, incréé, pas engendré, non venu à l’existence, non origination, l’état non né",déf →DT p 175,41
skyo ba ,,,"Triste, désenchanté","tristesse, abattement, lassitude, désenchantement, chagrin, désillusion (saine)
renoncement
dégôut du saṃsāra, ",indique un sens de révulsion et de fatigue d’avec les œuvres futiles du saṃsāra,42
skyo shas ,kheda,,"Désillusionné, dégoûté","dégoût, désillusion","une grande lassitude, un rejet profond de l'attachement (au monde) (GCLAvr93)",43
bskal pa ,kalpa,"eon, age (SL MW)","Kalpa, éon,","éon, âge, période cosmique, ère, l’âge du monde, période, cycle (cosmique)",déf B° p151 n 35,44
bskul ba ,,,"Inciter à, ","inspirer
supplier, quémander, implorer, conjurer, solliciter, plaider, enjoindre, demander instamment, exhorter
exhortation, requête, invocation",,45
bskyed pa ,"niṣpanna, utpatti, utpāda",,"Développer, générer","manifester, activer, produire, invention, faire, générer, créer, développer, production, formation, engendrer",,46
bskyed rim ,"utpattikrama, utpannakrama",phase of creation (SL MW),Phase de génération,"phase ou étape de développement, de création, de génération, de production, d’évocation, processus de visualisation","• la pratique méditative qui purifie les empreintes des quatre modes de naissance. les apparences, sons et cognitions ordinaires sont médités comme ayant respectivement la nature de la divinité, du mantra et de la connaissance primordiale (GCLAvr93)

• déf LB p 242, DT p 162, JC p 83 n 15, NA p 301, DTnt p 241 n 6, ngal gso I p 284 n 4, MMM p 10",47
"bskyong ba 
= bskyangs ba 
= skyong ba ","pālita, pāla, pāṇa pāṇi",,"Protéger, cultiver","protéger, préserver, sauvegarder
continuer dans, maintenir (l’état de sagesse)",,49
Kha ,,,,,,50
kha na ma tho ba ,avadya,,"Ce qui ne peut être dit
Actions négatives","fautes, transgressions, actes négatifs 
Non dit,
","(RY) kha na ma tho ba :
misdeed, wrongdoing, evil action, unwholesome deed, sin, nonvirtue, fault, * [lit. ""unmentionable,"" not come out of the mouth], moral corruption; innate flaw/ evil; moral evil, non-virtue, perverted actions, evil transgression. 

Syn {nyes ltung, sdig pa}acte projetant (karma introducteur) dont les conséquences sont douloureuses 
bcas pa'i kha na ma tho ba : transgressions dans la discipline édictée par le Bouddha 
rang bshin gyi kha na ma tho ba : acte naturellement négatif (GCLAvr93)

→ WB p 197 n 36",51
khams ,dhātu,experiential element (SL MW),"Etats, pays, domaine","Etats, domaine (mondain), monde, cosmos, règne
élément, constituant, substance (= sperme)
nature, nature de Bouddha, essence, nature essentielle, disposition
disposition d'esprit ou du corps 
santé, besoins et niveaux
cause, graine, élément causal, potentiel
sphère sensorielle, bases psycho-physiques, perception","(TDC) khams,
1) yul lam lung pa,...rgyal khams,...bod khams,...2)ris,...'dod khams,...'jig rten gyi khams,...3) 'byung ba'am rang bzhin,...lo khams,...me khams 'gyur ba,...khams snyoms pa,...khams log pa,...4) lus po,...sku khams,...khams dub pab sang ba,...lus kyi 'byung khams cha ma snyoms pa,...5) rgyu dang sa bon,...6) bod yul dbus gtsang khams gsum du zlas dbyeb yas pa'i ya gyal zhig gi ming,...mdo khams,...dbus gtsang khams gsum,...7) (mngon) rnam shes kyi khams drug dang, dbang po'i khams drug yul gyi khams drug ste khams la bco brgyad yodpas grangs bco brgyad mtshon,...

(RY) khams :
General meanings: expanse/ character; east Tibet. domain, territory, land; area, province; realm; constituent element/ component of experience; fundamental constituent of being (in the sense of buddha nature); character type; 1) Skt. dhatu, element, nature, capacity, property, constituent, {dngos po'i gnas tshul}, {ngo bo}, {rigs}, {bde bar gshegs pa'i snying po} For example the khams of fire is heat. The {dbyings} of water is wetness. Syn {'byung ba}, {rang bzhin}. 2) potential, seed. Syn {rgyu}, {sa bon}. 2) existentiality, [elements of our experiential make-up], character, nature, natural temperament, propensity, disposition, ability. 3) organs of the body, fields of sense, sensory sphere / base. 4) buddha-nature [s0. {snying po} 5) realm, region, dominion, world, plane, sphere, space, expanse [sm. {dbyings} 6) physical constitution / condition, health, sate of health. 7) Kham A province in eastern Tibet. Kham [the general area of east Tibet]. 8) domain, kingdom, empire, world, territory, land. 9) semen, essence. 10) fortification. 11) appetite. 12) types. 13) subtle nature, constituent. 14) the six elements, [earth, air, fire, water, ether, mind]. 15) state of health. 16) psycho-physical base; / Def. by Jamgön Kongtrül: {dhA tu'i sgra las sa bon 'dzin pa'am rang gi mtshan nyid 'dzin pa'i don gyis khams shes bya ba}. 17) character, nature, natural temperament, propensity, disposition, ability. element [thd] (la traduction est liée au contexte)
khams dkar po : élément blanc, la semence 
khams dmar po : élément rouge, le sang et les menstruations (GCLAvr93)",52
khams gsum ,"tri-(loka-)dhātu, trailokya, traidhātu",,"Les trois états
Les trois mondes","les trois mondes (du saṃsāra), sphères d’existence, domaines (du cercle des vies), ",,53
khyad par ,"viśeṣa, viśeśa",,"Particularités, distinctions","distinctions, différences, signes, qualités distinctifs, qualités spéciales, particulières
particulièrement, en particulier","(RY) khyad par :
distinction; [object individuations] [ggd]. Especially. particular details. In particular. Specifically,. Particularly. Particularly,. unique quality. 1) specifics, particulars, particularity, disparity, peculiarity. 2) special quality, *. qualification. quality. 3) difference, distinction, discrimination, variation. 4) aspect of, feature. 5) special, distinctive, particular, different, qualification difference. 6) excellent, superior, pre-eminent. 7) division, part, section, 8) kind, sort.
",54
khyab pa ,"spharaṇa, vyapti, prasrita",,"Inclure, englober","se répandre, s'étendre (dans)
imprégnation, embrasser, englober, imprégner, pénétrer
inclusion, extension, inclure
dévouer son temps à","(RY) khyab pa :
{khyab pa, khyab pa, khyab pa} intr. v.; 1) to pervade, permeate, extend, spread, embrace, encompass, penetrate, comprise, be present throughout, fill. 2) pervasion [in logic], entailment; association; concomitance. 3) to entail, encompass, engulf, cover, spread over, extend over, disseminate, embrace [by reason, logic] i.e. it follows that; to entail, necessitate. See also {khyab} 4) extensive. 5) counter pervasion, 6) pervasion, permeation, pervading. 7) omnipresent. 8) 9) clear. 10) a logical relationship; concomitance, pervasion, invariable; 1) entailment, invariable, concomitance, counter pervasion, extensive. 2) to fill, penetrate, to embrace, comprise. entail, pervasion [thd]. pervasion, entailment [ggd]. pervasion, entail, necessitate, involve; consistency. to encompass; Syn {'phro ba} to unfold 

ex : mi yin na sems can yin pas khyab : si c'est un homme, cela inclut le fait que ce soit un être
sems can yin na mi yin pas ma khyab: si c'est un être cela n'inclut pas le fait que ce soit un homme (GCLAvr93)",55
"khrid 
= ‘khrid 
= khrid pa ",,,"Instructions, directives, guider, ","explication (orales), guide, instructions (de pratique), enseignement
conduire, mener, guider, diriger (vers)",,56
